Epoch=1, loss_theta=2.594e-01,  energy_data=-4.303e-01,  energy_ebm=-6.898e-01,  regularize_term=4.156e+00
Epoch=2, loss_theta=-9.258e-01,  energy_data=-4.392e+00,  energy_ebm=-3.466e+00,  regularize_term=4.487e-01
Epoch=3, loss_theta=-4.854e-01,  energy_data=-3.632e+00,  energy_ebm=-3.147e+00,  regularize_term=2.491e-01
Epoch=4, loss_theta=-4.680e-01,  energy_data=-3.553e+00,  energy_ebm=-3.085e+00,  regularize_term=2.385e-01
Epoch=5, loss_theta=-4.552e-01,  energy_data=-3.497e+00,  energy_ebm=-3.041e+00,  regularize_term=2.307e-01
Epoch=6, loss_theta=-4.688e-01,  energy_data=-3.541e+00,  energy_ebm=-3.072e+00,  regularize_term=2.366e-01
Epoch=7, loss_theta=-4.959e-01,  energy_data=-3.638e+00,  energy_ebm=-3.142e+00,  regularize_term=2.497e-01
Epoch=8, loss_theta=-4.984e-01,  energy_data=-3.649e+00,  energy_ebm=-3.150e+00,  regularize_term=2.501e-01
Epoch=9, loss_theta=-4.845e-01,  energy_data=-3.589e+00,  energy_ebm=-3.105e+00,  regularize_term=2.430e-01
Epoch=10, loss_theta=-4.977e-01,  energy_data=-3.640e+00,  energy_ebm=-3.143e+00,  regularize_term=2.498e-01
Epoch=11, loss_theta=-5.007e-01,  energy_data=-3.655e+00,  energy_ebm=-3.154e+00,  regularize_term=2.513e-01
Epoch=12, loss_theta=-4.910e-01,  energy_data=-3.613e+00,  energy_ebm=-3.122e+00,  regularize_term=2.461e-01
Epoch=13, loss_theta=-4.776e-01,  energy_data=-3.562e+00,  energy_ebm=-3.085e+00,  regularize_term=2.391e-01
Epoch=14, loss_theta=-4.908e-01,  energy_data=-3.613e+00,  energy_ebm=-3.122e+00,  regularize_term=2.457e-01
Epoch=15, loss_theta=-4.850e-01,  energy_data=-3.584e+00,  energy_ebm=-3.099e+00,  regularize_term=2.430e-01
Epoch=16, loss_theta=-4.904e-01,  energy_data=-3.602e+00,  energy_ebm=-3.111e+00,  regularize_term=2.451e-01
Epoch=17, loss_theta=-4.952e-01,  energy_data=-3.632e+00,  energy_ebm=-3.137e+00,  regularize_term=2.484e-01
Epoch=18, loss_theta=-4.904e-01,  energy_data=-3.609e+00,  energy_ebm=-3.118e+00,  regularize_term=2.458e-01
Epoch=19, loss_theta=-4.846e-01,  energy_data=-3.584e+00,  energy_ebm=-3.099e+00,  regularize_term=2.420e-01
Epoch=20, loss_theta=-4.876e-01,  energy_data=-3.594e+00,  energy_ebm=-3.106e+00,  regularize_term=2.440e-01
Epoch=21, loss_theta=-4.711e-01,  energy_data=-3.540e+00,  energy_ebm=-3.069e+00,  regularize_term=2.359e-01
Epoch=22, loss_theta=-4.677e-01,  energy_data=-3.522e+00,  energy_ebm=-3.054e+00,  regularize_term=2.338e-01
Epoch=23, loss_theta=-4.861e-01,  energy_data=-3.584e+00,  energy_ebm=-3.098e+00,  regularize_term=2.428e-01
Epoch=24, loss_theta=-4.893e-01,  energy_data=-3.606e+00,  energy_ebm=-3.116e+00,  regularize_term=2.449e-01
Epoch=25, loss_theta=-4.728e-01,  energy_data=-3.535e+00,  energy_ebm=-3.062e+00,  regularize_term=2.360e-01
Epoch=26, loss_theta=-4.793e-01,  energy_data=-3.562e+00,  energy_ebm=-3.083e+00,  regularize_term=2.395e-01
Epoch=27, loss_theta=-4.809e-01,  energy_data=-3.575e+00,  energy_ebm=-3.094e+00,  regularize_term=2.403e-01
Epoch=28, loss_theta=-4.648e-01,  energy_data=-3.511e+00,  energy_ebm=-3.046e+00,  regularize_term=2.327e-01
Epoch=29, loss_theta=-4.687e-01,  energy_data=-3.515e+00,  energy_ebm=-3.046e+00,  regularize_term=2.339e-01
Epoch=30, loss_theta=-4.880e-01,  energy_data=-3.602e+00,  energy_ebm=-3.114e+00,  regularize_term=2.438e-01
Epoch=31, loss_theta=-4.780e-01,  energy_data=-3.565e+00,  energy_ebm=-3.087e+00,  regularize_term=2.390e-01
Epoch=32, loss_theta=-4.775e-01,  energy_data=-3.562e+00,  energy_ebm=-3.085e+00,  regularize_term=2.389e-01
Epoch=33, loss_theta=-4.746e-01,  energy_data=-3.544e+00,  energy_ebm=-3.070e+00,  regularize_term=2.369e-01
Epoch=34, loss_theta=-4.777e-01,  energy_data=-3.565e+00,  energy_ebm=-3.088e+00,  regularize_term=2.391e-01
Epoch=35, loss_theta=-4.661e-01,  energy_data=-3.515e+00,  energy_ebm=-3.049e+00,  regularize_term=2.328e-01
Epoch=36, loss_theta=-4.840e-01,  energy_data=-3.586e+00,  energy_ebm=-3.102e+00,  regularize_term=2.419e-01
Epoch=37, loss_theta=-4.660e-01,  energy_data=-3.517e+00,  energy_ebm=-3.051e+00,  regularize_term=2.327e-01
Epoch=38, loss_theta=-4.832e-01,  energy_data=-3.585e+00,  energy_ebm=-3.102e+00,  regularize_term=2.414e-01
Epoch=39, loss_theta=-4.733e-01,  energy_data=-3.548e+00,  energy_ebm=-3.075e+00,  regularize_term=2.367e-01
Epoch=40, loss_theta=-4.752e-01,  energy_data=-3.553e+00,  energy_ebm=-3.078e+00,  regularize_term=2.375e-01
Epoch=41, loss_theta=-4.750e-01,  energy_data=-3.562e+00,  energy_ebm=-3.087e+00,  regularize_term=2.378e-01
Epoch=42, loss_theta=-4.791e-01,  energy_data=-3.572e+00,  energy_ebm=-3.093e+00,  regularize_term=2.394e-01
Epoch=43, loss_theta=-4.710e-01,  energy_data=-3.535e+00,  energy_ebm=-3.064e+00,  regularize_term=2.351e-01
Epoch=44, loss_theta=-4.840e-01,  energy_data=-3.587e+00,  energy_ebm=-3.103e+00,  regularize_term=2.418e-01
Epoch=45, loss_theta=-4.840e-01,  energy_data=-3.590e+00,  energy_ebm=-3.106e+00,  regularize_term=2.416e-01
Epoch=46, loss_theta=-4.888e-01,  energy_data=-3.610e+00,  energy_ebm=-3.121e+00,  regularize_term=2.444e-01
Epoch=47, loss_theta=-4.827e-01,  energy_data=-3.589e+00,  energy_ebm=-3.107e+00,  regularize_term=2.415e-01
Epoch=48, loss_theta=-4.669e-01,  energy_data=-3.530e+00,  energy_ebm=-3.063e+00,  regularize_term=2.338e-01
Epoch=49, loss_theta=-4.842e-01,  energy_data=-3.587e+00,  energy_ebm=-3.103e+00,  regularize_term=2.415e-01
Epoch=50, loss_theta=-4.853e-01,  energy_data=-3.599e+00,  energy_ebm=-3.114e+00,  regularize_term=2.427e-01
