Epoch=1, loss_theta=-4.359e+00,  energy_data=-4.441e+00,  energy_ebm=-8.200e-02,  regularize_term=2.170e+00
Epoch=2, loss_theta=-4.585e+00,  energy_data=-4.715e+00,  energy_ebm=-1.303e-01,  regularize_term=2.293e+00
Epoch=3, loss_theta=-4.499e+00,  energy_data=-4.656e+00,  energy_ebm=-1.570e-01,  regularize_term=2.251e+00
Epoch=4, loss_theta=-4.453e+00,  energy_data=-4.625e+00,  energy_ebm=-1.722e-01,  regularize_term=2.226e+00
Epoch=5, loss_theta=-4.449e+00,  energy_data=-4.622e+00,  energy_ebm=-1.735e-01,  regularize_term=2.225e+00
Epoch=6, loss_theta=-4.456e+00,  energy_data=-4.628e+00,  energy_ebm=-1.715e-01,  regularize_term=2.229e+00
Epoch=7, loss_theta=-4.430e+00,  energy_data=-4.610e+00,  energy_ebm=-1.798e-01,  regularize_term=2.215e+00
Epoch=8, loss_theta=-4.429e+00,  energy_data=-4.610e+00,  energy_ebm=-1.813e-01,  regularize_term=2.215e+00
Epoch=9, loss_theta=-4.423e+00,  energy_data=-4.605e+00,  energy_ebm=-1.820e-01,  regularize_term=2.211e+00
Epoch=10, loss_theta=-4.408e+00,  energy_data=-4.595e+00,  energy_ebm=-1.862e-01,  regularize_term=2.205e+00
Epoch=11, loss_theta=-4.419e+00,  energy_data=-4.603e+00,  energy_ebm=-1.831e-01,  regularize_term=2.210e+00
Epoch=12, loss_theta=-4.416e+00,  energy_data=-4.601e+00,  energy_ebm=-1.851e-01,  regularize_term=2.208e+00
Epoch=13, loss_theta=-4.450e+00,  energy_data=-4.625e+00,  energy_ebm=-1.750e-01,  regularize_term=2.225e+00
Epoch=14, loss_theta=-4.433e+00,  energy_data=-4.612e+00,  energy_ebm=-1.792e-01,  regularize_term=2.217e+00
Epoch=15, loss_theta=-4.428e+00,  energy_data=-4.610e+00,  energy_ebm=-1.814e-01,  regularize_term=2.214e+00
Epoch=16, loss_theta=-4.444e+00,  energy_data=-4.621e+00,  energy_ebm=-1.766e-01,  regularize_term=2.222e+00
Epoch=17, loss_theta=-4.450e+00,  energy_data=-4.625e+00,  energy_ebm=-1.747e-01,  regularize_term=2.225e+00
Epoch=18, loss_theta=-4.440e+00,  energy_data=-4.618e+00,  energy_ebm=-1.788e-01,  regularize_term=2.220e+00
Epoch=19, loss_theta=-4.425e+00,  energy_data=-4.608e+00,  energy_ebm=-1.822e-01,  regularize_term=2.212e+00
Epoch=20, loss_theta=-4.451e+00,  energy_data=-4.625e+00,  energy_ebm=-1.747e-01,  regularize_term=2.226e+00
Epoch=21, loss_theta=-4.427e+00,  energy_data=-4.609e+00,  energy_ebm=-1.818e-01,  regularize_term=2.213e+00
Epoch=22, loss_theta=-4.439e+00,  energy_data=-4.618e+00,  energy_ebm=-1.790e-01,  regularize_term=2.220e+00
Epoch=23, loss_theta=-4.423e+00,  energy_data=-4.606e+00,  energy_ebm=-1.836e-01,  regularize_term=2.212e+00
Epoch=24, loss_theta=-4.430e+00,  energy_data=-4.611e+00,  energy_ebm=-1.811e-01,  regularize_term=2.214e+00
Epoch=25, loss_theta=-4.448e+00,  energy_data=-4.624e+00,  energy_ebm=-1.762e-01,  regularize_term=2.224e+00
Epoch=26, loss_theta=-4.440e+00,  energy_data=-4.619e+00,  energy_ebm=-1.785e-01,  regularize_term=2.221e+00
Epoch=27, loss_theta=-4.425e+00,  energy_data=-4.609e+00,  energy_ebm=-1.838e-01,  regularize_term=2.213e+00
Epoch=28, loss_theta=-4.438e+00,  energy_data=-4.617e+00,  energy_ebm=-1.789e-01,  regularize_term=2.219e+00
Epoch=29, loss_theta=-4.420e+00,  energy_data=-4.605e+00,  energy_ebm=-1.848e-01,  regularize_term=2.211e+00
Epoch=30, loss_theta=-4.429e+00,  energy_data=-4.610e+00,  energy_ebm=-1.808e-01,  regularize_term=2.214e+00
Epoch=31, loss_theta=-4.417e+00,  energy_data=-4.603e+00,  energy_ebm=-1.856e-01,  regularize_term=2.209e+00
Epoch=32, loss_theta=-4.436e+00,  energy_data=-4.617e+00,  energy_ebm=-1.811e-01,  regularize_term=2.219e+00
Epoch=33, loss_theta=-4.402e+00,  energy_data=-4.592e+00,  energy_ebm=-1.901e-01,  regularize_term=2.201e+00
Epoch=34, loss_theta=-4.412e+00,  energy_data=-4.600e+00,  energy_ebm=-1.873e-01,  regularize_term=2.207e+00
Epoch=35, loss_theta=-4.444e+00,  energy_data=-4.622e+00,  energy_ebm=-1.773e-01,  regularize_term=2.222e+00
Epoch=36, loss_theta=-4.426e+00,  energy_data=-4.610e+00,  energy_ebm=-1.835e-01,  regularize_term=2.213e+00
Epoch=37, loss_theta=-4.433e+00,  energy_data=-4.615e+00,  energy_ebm=-1.812e-01,  regularize_term=2.216e+00
Epoch=38, loss_theta=-4.451e+00,  energy_data=-4.627e+00,  energy_ebm=-1.760e-01,  regularize_term=2.226e+00
Epoch=39, loss_theta=-4.436e+00,  energy_data=-4.617e+00,  energy_ebm=-1.804e-01,  regularize_term=2.218e+00
Epoch=40, loss_theta=-4.431e+00,  energy_data=-4.613e+00,  energy_ebm=-1.821e-01,  regularize_term=2.216e+00
Epoch=41, loss_theta=-4.443e+00,  energy_data=-4.621e+00,  energy_ebm=-1.780e-01,  regularize_term=2.221e+00
Epoch=42, loss_theta=-4.448e+00,  energy_data=-4.625e+00,  energy_ebm=-1.772e-01,  regularize_term=2.224e+00
Epoch=43, loss_theta=-4.452e+00,  energy_data=-4.628e+00,  energy_ebm=-1.760e-01,  regularize_term=2.226e+00
Epoch=44, loss_theta=-4.422e+00,  energy_data=-4.607e+00,  energy_ebm=-1.845e-01,  regularize_term=2.210e+00
Epoch=45, loss_theta=-4.438e+00,  energy_data=-4.619e+00,  energy_ebm=-1.803e-01,  regularize_term=2.220e+00
Epoch=46, loss_theta=-4.441e+00,  energy_data=-4.620e+00,  energy_ebm=-1.788e-01,  regularize_term=2.221e+00
Epoch=47, loss_theta=-4.426e+00,  energy_data=-4.610e+00,  energy_ebm=-1.841e-01,  regularize_term=2.213e+00
Epoch=48, loss_theta=-4.441e+00,  energy_data=-4.621e+00,  energy_ebm=-1.796e-01,  regularize_term=2.221e+00
Epoch=49, loss_theta=-4.443e+00,  energy_data=-4.621e+00,  energy_ebm=-1.783e-01,  regularize_term=2.221e+00
Epoch=50, loss_theta=-4.435e+00,  energy_data=-4.616e+00,  energy_ebm=-1.810e-01,  regularize_term=2.217e+00
