Epoch=1, loss_theta=1.745e+01,  energy_data=-4.301e+00,  energy_ebm=-2.175e+01,  regularize_term=2.118e+03
Epoch=2, loss_theta=2.530e-01,  energy_data=-4.148e+00,  energy_ebm=-4.401e+00,  regularize_term=1.542e+01
Epoch=3, loss_theta=-4.019e-01,  energy_data=-3.287e+00,  energy_ebm=-2.885e+00,  regularize_term=2.045e-01
Epoch=4, loss_theta=-3.877e-01,  energy_data=-3.223e+00,  energy_ebm=-2.836e+00,  regularize_term=1.964e-01
Epoch=5, loss_theta=-3.721e-01,  energy_data=-3.146e+00,  energy_ebm=-2.774e+00,  regularize_term=1.872e-01
Epoch=6, loss_theta=-3.800e-01,  energy_data=-3.176e+00,  energy_ebm=-2.796e+00,  regularize_term=1.902e-01
Epoch=7, loss_theta=-3.792e-01,  energy_data=-3.170e+00,  energy_ebm=-2.791e+00,  regularize_term=1.897e-01
Epoch=8, loss_theta=-3.803e-01,  energy_data=-3.173e+00,  energy_ebm=-2.793e+00,  regularize_term=1.899e-01
Epoch=9, loss_theta=-3.757e-01,  energy_data=-3.161e+00,  energy_ebm=-2.785e+00,  regularize_term=1.886e-01
Epoch=10, loss_theta=-3.755e-01,  energy_data=-3.152e+00,  energy_ebm=-2.776e+00,  regularize_term=1.875e-01
Epoch=11, loss_theta=-3.858e-01,  energy_data=-3.198e+00,  energy_ebm=-2.812e+00,  regularize_term=1.928e-01
Epoch=12, loss_theta=-3.863e-01,  energy_data=-3.199e+00,  energy_ebm=-2.813e+00,  regularize_term=1.933e-01
Epoch=13, loss_theta=-3.738e-01,  energy_data=-3.149e+00,  energy_ebm=-2.775e+00,  regularize_term=1.872e-01
Epoch=14, loss_theta=-3.906e-01,  energy_data=-3.216e+00,  energy_ebm=-2.825e+00,  regularize_term=1.953e-01
Epoch=15, loss_theta=-3.852e-01,  energy_data=-3.198e+00,  energy_ebm=-2.813e+00,  regularize_term=1.932e-01
Epoch=16, loss_theta=-3.770e-01,  energy_data=-3.156e+00,  energy_ebm=-2.779e+00,  regularize_term=1.881e-01
Epoch=17, loss_theta=-3.797e-01,  energy_data=-3.168e+00,  energy_ebm=-2.788e+00,  regularize_term=1.901e-01
Epoch=18, loss_theta=-3.825e-01,  energy_data=-3.183e+00,  energy_ebm=-2.800e+00,  regularize_term=1.912e-01
Epoch=19, loss_theta=-3.828e-01,  energy_data=-3.184e+00,  energy_ebm=-2.801e+00,  regularize_term=1.915e-01
Epoch=20, loss_theta=-3.811e-01,  energy_data=-3.175e+00,  energy_ebm=-2.794e+00,  regularize_term=1.907e-01
Epoch=21, loss_theta=-3.745e-01,  energy_data=-3.142e+00,  energy_ebm=-2.767e+00,  regularize_term=1.870e-01
Epoch=22, loss_theta=-3.867e-01,  energy_data=-3.201e+00,  energy_ebm=-2.814e+00,  regularize_term=1.938e-01
Epoch=23, loss_theta=-3.717e-01,  energy_data=-3.133e+00,  energy_ebm=-2.761e+00,  regularize_term=1.855e-01
Epoch=24, loss_theta=-3.778e-01,  energy_data=-3.157e+00,  energy_ebm=-2.779e+00,  regularize_term=1.889e-01
Epoch=25, loss_theta=-3.897e-01,  energy_data=-3.208e+00,  energy_ebm=-2.818e+00,  regularize_term=1.949e-01
Epoch=26, loss_theta=-3.647e-01,  energy_data=-3.106e+00,  energy_ebm=-2.741e+00,  regularize_term=1.827e-01
Epoch=27, loss_theta=-3.777e-01,  energy_data=-3.161e+00,  energy_ebm=-2.784e+00,  regularize_term=1.889e-01
Epoch=28, loss_theta=-3.995e-01,  energy_data=-3.245e+00,  energy_ebm=-2.845e+00,  regularize_term=1.994e-01
Epoch=29, loss_theta=-3.693e-01,  energy_data=-3.127e+00,  energy_ebm=-2.758e+00,  regularize_term=1.853e-01
Epoch=30, loss_theta=-3.842e-01,  energy_data=-3.185e+00,  energy_ebm=-2.801e+00,  regularize_term=1.918e-01
Epoch=31, loss_theta=-3.758e-01,  energy_data=-3.155e+00,  energy_ebm=-2.779e+00,  regularize_term=1.885e-01
Epoch=32, loss_theta=-3.725e-01,  energy_data=-3.135e+00,  energy_ebm=-2.762e+00,  regularize_term=1.863e-01
Epoch=33, loss_theta=-3.786e-01,  energy_data=-3.164e+00,  energy_ebm=-2.786e+00,  regularize_term=1.897e-01
Epoch=34, loss_theta=-3.872e-01,  energy_data=-3.197e+00,  energy_ebm=-2.810e+00,  regularize_term=1.935e-01
Epoch=35, loss_theta=-3.883e-01,  energy_data=-3.204e+00,  energy_ebm=-2.816e+00,  regularize_term=1.940e-01
Epoch=36, loss_theta=-3.902e-01,  energy_data=-3.215e+00,  energy_ebm=-2.825e+00,  regularize_term=1.952e-01
Epoch=37, loss_theta=-3.782e-01,  energy_data=-3.158e+00,  energy_ebm=-2.780e+00,  regularize_term=1.887e-01
Epoch=38, loss_theta=-3.822e-01,  energy_data=-3.184e+00,  energy_ebm=-2.802e+00,  regularize_term=1.916e-01
Epoch=39, loss_theta=-3.777e-01,  energy_data=-3.159e+00,  energy_ebm=-2.781e+00,  regularize_term=1.889e-01
Epoch=40, loss_theta=-3.801e-01,  energy_data=-3.169e+00,  energy_ebm=-2.789e+00,  regularize_term=1.900e-01
Epoch=41, loss_theta=-3.872e-01,  energy_data=-3.200e+00,  energy_ebm=-2.813e+00,  regularize_term=1.936e-01
Epoch=42, loss_theta=-3.819e-01,  energy_data=-3.176e+00,  energy_ebm=-2.794e+00,  regularize_term=1.907e-01
Epoch=43, loss_theta=-3.720e-01,  energy_data=-3.136e+00,  energy_ebm=-2.764e+00,  regularize_term=1.861e-01
Epoch=44, loss_theta=-3.757e-01,  energy_data=-3.149e+00,  energy_ebm=-2.773e+00,  regularize_term=1.881e-01
Epoch=45, loss_theta=-3.840e-01,  energy_data=-3.187e+00,  energy_ebm=-2.803e+00,  regularize_term=1.923e-01
Epoch=46, loss_theta=-3.719e-01,  energy_data=-3.129e+00,  energy_ebm=-2.757e+00,  regularize_term=1.854e-01
