Epoch=1, loss_theta=3.810e+01,  energy_data=-7.015e+00,  energy_ebm=-4.512e+01,  regularize_term=4.068e+03
Epoch=2, loss_theta=1.417e-01,  energy_data=-1.356e+01,  energy_ebm=-1.370e+01,  regularize_term=2.350e+00
Epoch=3, loss_theta=-1.385e+00,  energy_data=-1.927e+01,  energy_ebm=-1.789e+01,  regularize_term=7.359e-01
Epoch=4, loss_theta=-1.444e+00,  energy_data=-1.936e+01,  energy_ebm=-1.792e+01,  regularize_term=7.237e-01
Epoch=5, loss_theta=-1.415e+00,  energy_data=-1.914e+01,  energy_ebm=-1.773e+01,  regularize_term=7.072e-01
Epoch=6, loss_theta=-1.429e+00,  energy_data=-1.923e+01,  energy_ebm=-1.781e+01,  regularize_term=7.143e-01
Epoch=7, loss_theta=-1.376e+00,  energy_data=-1.883e+01,  energy_ebm=-1.745e+01,  regularize_term=6.850e-01
Epoch=8, loss_theta=-1.343e+00,  energy_data=-1.863e+01,  energy_ebm=-1.729e+01,  regularize_term=6.710e-01
Epoch=9, loss_theta=-1.347e+00,  energy_data=-1.864e+01,  energy_ebm=-1.730e+01,  regularize_term=6.719e-01
Epoch=10, loss_theta=-1.348e+00,  energy_data=-1.865e+01,  energy_ebm=-1.730e+01,  regularize_term=6.724e-01
Epoch=11, loss_theta=-1.337e+00,  energy_data=-1.857e+01,  energy_ebm=-1.724e+01,  regularize_term=6.676e-01
Epoch=12, loss_theta=-1.324e+00,  energy_data=-1.847e+01,  energy_ebm=-1.715e+01,  regularize_term=6.596e-01
Epoch=13, loss_theta=-1.334e+00,  energy_data=-1.859e+01,  energy_ebm=-1.725e+01,  regularize_term=6.689e-01
Epoch=14, loss_theta=-1.332e+00,  energy_data=-1.855e+01,  energy_ebm=-1.722e+01,  regularize_term=6.652e-01
Epoch=15, loss_theta=-1.341e+00,  energy_data=-1.862e+01,  energy_ebm=-1.728e+01,  regularize_term=6.706e-01
Epoch=16, loss_theta=-1.319e+00,  energy_data=-1.845e+01,  energy_ebm=-1.714e+01,  regularize_term=6.587e-01
Epoch=17, loss_theta=-1.371e+00,  energy_data=-1.883e+01,  energy_ebm=-1.746e+01,  regularize_term=6.860e-01
Epoch=18, loss_theta=-1.324e+00,  energy_data=-1.848e+01,  energy_ebm=-1.716e+01,  regularize_term=6.608e-01
Epoch=19, loss_theta=-1.369e+00,  energy_data=-1.882e+01,  energy_ebm=-1.745e+01,  regularize_term=6.859e-01
Epoch=20, loss_theta=-1.336e+00,  energy_data=-1.856e+01,  energy_ebm=-1.722e+01,  regularize_term=6.668e-01
Epoch=21, loss_theta=-1.301e+00,  energy_data=-1.832e+01,  energy_ebm=-1.702e+01,  regularize_term=6.498e-01
Epoch=22, loss_theta=-1.313e+00,  energy_data=-1.845e+01,  energy_ebm=-1.714e+01,  regularize_term=6.586e-01
Epoch=23, loss_theta=-1.349e+00,  energy_data=-1.865e+01,  energy_ebm=-1.730e+01,  regularize_term=6.732e-01
Epoch=24, loss_theta=-1.325e+00,  energy_data=-1.850e+01,  energy_ebm=-1.718e+01,  regularize_term=6.625e-01
Epoch=25, loss_theta=-1.335e+00,  energy_data=-1.855e+01,  energy_ebm=-1.722e+01,  regularize_term=6.673e-01
Epoch=26, loss_theta=-1.326e+00,  energy_data=-1.852e+01,  energy_ebm=-1.719e+01,  regularize_term=6.647e-01
Epoch=27, loss_theta=-1.327e+00,  energy_data=-1.851e+01,  energy_ebm=-1.718e+01,  regularize_term=6.631e-01
Epoch=28, loss_theta=-1.343e+00,  energy_data=-1.862e+01,  energy_ebm=-1.728e+01,  regularize_term=6.721e-01
Epoch=29, loss_theta=-1.286e+00,  energy_data=-1.822e+01,  energy_ebm=-1.693e+01,  regularize_term=6.437e-01
Epoch=30, loss_theta=-1.345e+00,  energy_data=-1.863e+01,  energy_ebm=-1.728e+01,  regularize_term=6.725e-01
Epoch=31, loss_theta=-1.346e+00,  energy_data=-1.864e+01,  energy_ebm=-1.729e+01,  regularize_term=6.726e-01
Epoch=32, loss_theta=-1.313e+00,  energy_data=-1.842e+01,  energy_ebm=-1.711e+01,  regularize_term=6.579e-01
Epoch=33, loss_theta=-1.297e+00,  energy_data=-1.829e+01,  energy_ebm=-1.699e+01,  regularize_term=6.481e-01
Epoch=34, loss_theta=-1.327e+00,  energy_data=-1.851e+01,  energy_ebm=-1.718e+01,  regularize_term=6.641e-01
Epoch=35, loss_theta=-1.270e+00,  energy_data=-1.812e+01,  energy_ebm=-1.685e+01,  regularize_term=6.360e-01
Epoch=36, loss_theta=-1.346e+00,  energy_data=-1.863e+01,  energy_ebm=-1.729e+01,  regularize_term=6.740e-01
Epoch=37, loss_theta=-1.300e+00,  energy_data=-1.832e+01,  energy_ebm=-1.702e+01,  regularize_term=6.513e-01
Epoch=38, loss_theta=-1.334e+00,  energy_data=-1.855e+01,  energy_ebm=-1.721e+01,  regularize_term=6.665e-01
Epoch=39, loss_theta=-1.337e+00,  energy_data=-1.857e+01,  energy_ebm=-1.723e+01,  regularize_term=6.686e-01
Epoch=40, loss_theta=-1.320e+00,  energy_data=-1.845e+01,  energy_ebm=-1.713e+01,  regularize_term=6.599e-01
Epoch=41, loss_theta=-1.309e+00,  energy_data=-1.840e+01,  energy_ebm=-1.709e+01,  regularize_term=6.565e-01
Epoch=42, loss_theta=-1.298e+00,  energy_data=-1.828e+01,  energy_ebm=-1.698e+01,  regularize_term=6.484e-01
Epoch=43, loss_theta=-1.271e+00,  energy_data=-1.812e+01,  energy_ebm=-1.685e+01,  regularize_term=6.370e-01
Epoch=44, loss_theta=-1.278e+00,  energy_data=-1.814e+01,  energy_ebm=-1.686e+01,  regularize_term=6.380e-01
Epoch=45, loss_theta=-1.303e+00,  energy_data=-1.834e+01,  energy_ebm=-1.704e+01,  regularize_term=6.525e-01
