Epoch=1, loss_theta=-1.930e+00,  energy_data=-3.396e+00,  energy_ebm=-1.466e+00,  regularize_term=9.546e-01
Epoch=2, loss_theta=-1.370e+00,  energy_data=-2.969e+00,  energy_ebm=-1.599e+00,  regularize_term=6.870e-01
Epoch=3, loss_theta=-1.343e+00,  energy_data=-2.935e+00,  energy_ebm=-1.592e+00,  regularize_term=6.726e-01
Epoch=4, loss_theta=-1.294e+00,  energy_data=-2.874e+00,  energy_ebm=-1.580e+00,  regularize_term=6.474e-01
Epoch=5, loss_theta=-1.266e+00,  energy_data=-2.832e+00,  energy_ebm=-1.567e+00,  regularize_term=6.331e-01
Epoch=6, loss_theta=-1.244e+00,  energy_data=-2.810e+00,  energy_ebm=-1.566e+00,  regularize_term=6.228e-01
Epoch=7, loss_theta=-1.277e+00,  energy_data=-2.844e+00,  energy_ebm=-1.567e+00,  regularize_term=6.380e-01
Epoch=8, loss_theta=-1.251e+00,  energy_data=-2.824e+00,  energy_ebm=-1.573e+00,  regularize_term=6.261e-01
Epoch=9, loss_theta=-1.246e+00,  energy_data=-2.816e+00,  energy_ebm=-1.570e+00,  regularize_term=6.235e-01
Epoch=10, loss_theta=-1.255e+00,  energy_data=-2.828e+00,  energy_ebm=-1.572e+00,  regularize_term=6.272e-01
Epoch=11, loss_theta=-1.241e+00,  energy_data=-2.807e+00,  energy_ebm=-1.566e+00,  regularize_term=6.210e-01
Epoch=12, loss_theta=-1.251e+00,  energy_data=-2.826e+00,  energy_ebm=-1.574e+00,  regularize_term=6.256e-01
Epoch=13, loss_theta=-1.237e+00,  energy_data=-2.803e+00,  energy_ebm=-1.566e+00,  regularize_term=6.183e-01
Epoch=14, loss_theta=-1.237e+00,  energy_data=-2.802e+00,  energy_ebm=-1.565e+00,  regularize_term=6.185e-01
Epoch=15, loss_theta=-1.252e+00,  energy_data=-2.825e+00,  energy_ebm=-1.573e+00,  regularize_term=6.262e-01
Epoch=16, loss_theta=-1.259e+00,  energy_data=-2.832e+00,  energy_ebm=-1.573e+00,  regularize_term=6.291e-01
Epoch=17, loss_theta=-1.262e+00,  energy_data=-2.837e+00,  energy_ebm=-1.575e+00,  regularize_term=6.309e-01
Epoch=18, loss_theta=-1.237e+00,  energy_data=-2.808e+00,  energy_ebm=-1.570e+00,  regularize_term=6.189e-01
Epoch=19, loss_theta=-1.269e+00,  energy_data=-2.847e+00,  energy_ebm=-1.578e+00,  regularize_term=6.344e-01
Epoch=20, loss_theta=-1.267e+00,  energy_data=-2.845e+00,  energy_ebm=-1.578e+00,  regularize_term=6.329e-01
Epoch=21, loss_theta=-1.239e+00,  energy_data=-2.809e+00,  energy_ebm=-1.569e+00,  regularize_term=6.196e-01
Epoch=22, loss_theta=-1.235e+00,  energy_data=-2.805e+00,  energy_ebm=-1.570e+00,  regularize_term=6.175e-01
