Epoch=1, loss_theta=5.189e+00,  energy_data=-5.938e+00,  energy_ebm=-1.113e+01,  regularize_term=1.504e+02
Epoch=2, loss_theta=-6.760e-01,  energy_data=-1.205e+01,  energy_ebm=-1.138e+01,  regularize_term=2.918e-01
Epoch=3, loss_theta=-9.372e-01,  energy_data=-1.544e+01,  energy_ebm=-1.451e+01,  regularize_term=4.633e-01
Epoch=4, loss_theta=-9.451e-01,  energy_data=-1.559e+01,  energy_ebm=-1.464e+01,  regularize_term=4.718e-01
Epoch=5, loss_theta=-9.498e-01,  energy_data=-1.562e+01,  energy_ebm=-1.467e+01,  regularize_term=4.735e-01
Epoch=6, loss_theta=-9.653e-01,  energy_data=-1.578e+01,  energy_ebm=-1.481e+01,  regularize_term=4.832e-01
Epoch=7, loss_theta=-9.718e-01,  energy_data=-1.581e+01,  energy_ebm=-1.484e+01,  regularize_term=4.853e-01
Epoch=8, loss_theta=-9.404e-01,  energy_data=-1.556e+01,  energy_ebm=-1.462e+01,  regularize_term=4.705e-01
Epoch=9, loss_theta=-9.540e-01,  energy_data=-1.567e+01,  energy_ebm=-1.472e+01,  regularize_term=4.767e-01
Epoch=10, loss_theta=-9.697e-01,  energy_data=-1.579e+01,  energy_ebm=-1.482e+01,  regularize_term=4.841e-01
Epoch=11, loss_theta=-9.690e-01,  energy_data=-1.579e+01,  energy_ebm=-1.482e+01,  regularize_term=4.841e-01
Epoch=12, loss_theta=-9.912e-01,  energy_data=-1.598e+01,  energy_ebm=-1.499e+01,  regularize_term=4.958e-01
Epoch=13, loss_theta=-9.653e-01,  energy_data=-1.576e+01,  energy_ebm=-1.480e+01,  regularize_term=4.827e-01
Epoch=14, loss_theta=-9.482e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.745e-01
Epoch=15, loss_theta=-9.629e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.803e-01
Epoch=16, loss_theta=-9.649e-01,  energy_data=-1.575e+01,  energy_ebm=-1.479e+01,  regularize_term=4.823e-01
Epoch=17, loss_theta=-9.805e-01,  energy_data=-1.589e+01,  energy_ebm=-1.491e+01,  regularize_term=4.898e-01
Epoch=18, loss_theta=-9.712e-01,  energy_data=-1.583e+01,  energy_ebm=-1.485e+01,  regularize_term=4.863e-01
Epoch=19, loss_theta=-9.871e-01,  energy_data=-1.595e+01,  energy_ebm=-1.496e+01,  regularize_term=4.941e-01
Epoch=20, loss_theta=-9.654e-01,  energy_data=-1.574e+01,  energy_ebm=-1.478e+01,  regularize_term=4.812e-01
Epoch=21, loss_theta=-9.432e-01,  energy_data=-1.559e+01,  energy_ebm=-1.464e+01,  regularize_term=4.721e-01
Epoch=22, loss_theta=-9.562e-01,  energy_data=-1.568e+01,  energy_ebm=-1.472e+01,  regularize_term=4.776e-01
Epoch=23, loss_theta=-9.824e-01,  energy_data=-1.590e+01,  energy_ebm=-1.492e+01,  regularize_term=4.913e-01
Epoch=24, loss_theta=-9.656e-01,  energy_data=-1.576e+01,  energy_ebm=-1.480e+01,  regularize_term=4.827e-01
Epoch=25, loss_theta=-9.605e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.806e-01
Epoch=26, loss_theta=-9.722e-01,  energy_data=-1.582e+01,  energy_ebm=-1.485e+01,  regularize_term=4.862e-01
Epoch=27, loss_theta=-9.977e-01,  energy_data=-1.601e+01,  energy_ebm=-1.501e+01,  regularize_term=4.983e-01
Epoch=28, loss_theta=-9.770e-01,  energy_data=-1.586e+01,  energy_ebm=-1.488e+01,  regularize_term=4.887e-01
Epoch=29, loss_theta=-9.610e-01,  energy_data=-1.572e+01,  energy_ebm=-1.475e+01,  regularize_term=4.805e-01
Epoch=30, loss_theta=-9.724e-01,  energy_data=-1.581e+01,  energy_ebm=-1.483e+01,  regularize_term=4.858e-01
Epoch=31, loss_theta=-9.665e-01,  energy_data=-1.579e+01,  energy_ebm=-1.482e+01,  regularize_term=4.843e-01
Epoch=32, loss_theta=-9.619e-01,  energy_data=-1.571e+01,  energy_ebm=-1.475e+01,  regularize_term=4.801e-01
Epoch=33, loss_theta=-9.794e-01,  energy_data=-1.589e+01,  energy_ebm=-1.491e+01,  regularize_term=4.906e-01
Epoch=34, loss_theta=-9.927e-01,  energy_data=-1.596e+01,  energy_ebm=-1.496e+01,  regularize_term=4.955e-01
Epoch=35, loss_theta=-9.631e-01,  energy_data=-1.575e+01,  energy_ebm=-1.478e+01,  regularize_term=4.823e-01
Epoch=36, loss_theta=-9.892e-01,  energy_data=-1.594e+01,  energy_ebm=-1.495e+01,  regularize_term=4.942e-01
Epoch=37, loss_theta=-9.790e-01,  energy_data=-1.587e+01,  energy_ebm=-1.489e+01,  regularize_term=4.895e-01
Epoch=38, loss_theta=-9.688e-01,  energy_data=-1.578e+01,  energy_ebm=-1.482e+01,  regularize_term=4.845e-01
Epoch=39, loss_theta=-9.584e-01,  energy_data=-1.569e+01,  energy_ebm=-1.473e+01,  regularize_term=4.787e-01
Epoch=40, loss_theta=-9.718e-01,  energy_data=-1.581e+01,  energy_ebm=-1.484e+01,  regularize_term=4.864e-01
Epoch=41, loss_theta=-9.857e-01,  energy_data=-1.594e+01,  energy_ebm=-1.495e+01,  regularize_term=4.936e-01
Epoch=42, loss_theta=-9.616e-01,  energy_data=-1.572e+01,  energy_ebm=-1.476e+01,  regularize_term=4.809e-01
Epoch=43, loss_theta=-9.686e-01,  energy_data=-1.577e+01,  energy_ebm=-1.480e+01,  regularize_term=4.841e-01
Epoch=44, loss_theta=-9.883e-01,  energy_data=-1.594e+01,  energy_ebm=-1.495e+01,  regularize_term=4.942e-01
Epoch=45, loss_theta=-9.635e-01,  energy_data=-1.574e+01,  energy_ebm=-1.478e+01,  regularize_term=4.822e-01
Epoch=46, loss_theta=-9.825e-01,  energy_data=-1.589e+01,  energy_ebm=-1.491e+01,  regularize_term=4.912e-01
Epoch=47, loss_theta=-9.660e-01,  energy_data=-1.576e+01,  energy_ebm=-1.479e+01,  regularize_term=4.831e-01
Epoch=48, loss_theta=-9.656e-01,  energy_data=-1.576e+01,  energy_ebm=-1.479e+01,  regularize_term=4.831e-01
Epoch=49, loss_theta=-9.752e-01,  energy_data=-1.582e+01,  energy_ebm=-1.485e+01,  regularize_term=4.871e-01
Epoch=50, loss_theta=-9.678e-01,  energy_data=-1.578e+01,  energy_ebm=-1.481e+01,  regularize_term=4.842e-01
Epoch=51, loss_theta=-9.652e-01,  energy_data=-1.575e+01,  energy_ebm=-1.478e+01,  regularize_term=4.825e-01
Epoch=52, loss_theta=-9.957e-01,  energy_data=-1.602e+01,  energy_ebm=-1.502e+01,  regularize_term=4.987e-01
Epoch=53, loss_theta=-9.535e-01,  energy_data=-1.565e+01,  energy_ebm=-1.469e+01,  regularize_term=4.766e-01
Epoch=54, loss_theta=-9.515e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.755e-01
Epoch=55, loss_theta=-9.555e-01,  energy_data=-1.569e+01,  energy_ebm=-1.473e+01,  regularize_term=4.784e-01
Epoch=56, loss_theta=-9.959e-01,  energy_data=-1.600e+01,  energy_ebm=-1.500e+01,  regularize_term=4.972e-01
Epoch=57, loss_theta=-9.710e-01,  energy_data=-1.581e+01,  energy_ebm=-1.484e+01,  regularize_term=4.858e-01
Epoch=58, loss_theta=-9.774e-01,  energy_data=-1.585e+01,  energy_ebm=-1.487e+01,  regularize_term=4.883e-01
Epoch=59, loss_theta=-9.553e-01,  energy_data=-1.568e+01,  energy_ebm=-1.472e+01,  regularize_term=4.780e-01
Epoch=60, loss_theta=-9.680e-01,  energy_data=-1.578e+01,  energy_ebm=-1.481e+01,  regularize_term=4.842e-01
Epoch=61, loss_theta=-9.834e-01,  energy_data=-1.590e+01,  energy_ebm=-1.492e+01,  regularize_term=4.918e-01
Epoch=62, loss_theta=-9.673e-01,  energy_data=-1.577e+01,  energy_ebm=-1.480e+01,  regularize_term=4.838e-01
Epoch=63, loss_theta=-9.545e-01,  energy_data=-1.566e+01,  energy_ebm=-1.471e+01,  regularize_term=4.772e-01
Epoch=64, loss_theta=-9.663e-01,  energy_data=-1.578e+01,  energy_ebm=-1.481e+01,  regularize_term=4.839e-01
Epoch=65, loss_theta=-9.805e-01,  energy_data=-1.590e+01,  energy_ebm=-1.492e+01,  regularize_term=4.911e-01
Epoch=66, loss_theta=-9.594e-01,  energy_data=-1.569e+01,  energy_ebm=-1.473e+01,  regularize_term=4.786e-01
Epoch=67, loss_theta=-9.713e-01,  energy_data=-1.582e+01,  energy_ebm=-1.485e+01,  regularize_term=4.864e-01
Epoch=68, loss_theta=-9.627e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.817e-01
Epoch=69, loss_theta=-9.714e-01,  energy_data=-1.581e+01,  energy_ebm=-1.484e+01,  regularize_term=4.858e-01
Epoch=70, loss_theta=-9.718e-01,  energy_data=-1.580e+01,  energy_ebm=-1.483e+01,  regularize_term=4.856e-01
Epoch=71, loss_theta=-9.481e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.743e-01
Epoch=72, loss_theta=-9.541e-01,  energy_data=-1.566e+01,  energy_ebm=-1.471e+01,  regularize_term=4.767e-01
Epoch=73, loss_theta=-9.537e-01,  energy_data=-1.568e+01,  energy_ebm=-1.472e+01,  regularize_term=4.781e-01
Epoch=74, loss_theta=-9.487e-01,  energy_data=-1.560e+01,  energy_ebm=-1.465e+01,  regularize_term=4.734e-01
Epoch=75, loss_theta=-9.830e-01,  energy_data=-1.591e+01,  energy_ebm=-1.492e+01,  regularize_term=4.918e-01
Epoch=76, loss_theta=-9.776e-01,  energy_data=-1.587e+01,  energy_ebm=-1.489e+01,  regularize_term=4.898e-01
Epoch=77, loss_theta=-9.418e-01,  energy_data=-1.556e+01,  energy_ebm=-1.461e+01,  regularize_term=4.704e-01
Epoch=78, loss_theta=-9.820e-01,  energy_data=-1.590e+01,  energy_ebm=-1.492e+01,  regularize_term=4.913e-01
Epoch=79, loss_theta=-9.232e-01,  energy_data=-1.539e+01,  energy_ebm=-1.447e+01,  regularize_term=4.607e-01
Epoch=80, loss_theta=-9.473e-01,  energy_data=-1.564e+01,  energy_ebm=-1.469e+01,  regularize_term=4.752e-01
Epoch=81, loss_theta=-9.589e-01,  energy_data=-1.570e+01,  energy_ebm=-1.474e+01,  regularize_term=4.791e-01
Epoch=82, loss_theta=-9.624e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.808e-01
Epoch=83, loss_theta=-9.782e-01,  energy_data=-1.588e+01,  energy_ebm=-1.490e+01,  regularize_term=4.897e-01
Epoch=84, loss_theta=-9.791e-01,  energy_data=-1.586e+01,  energy_ebm=-1.488e+01,  regularize_term=4.888e-01
Epoch=85, loss_theta=-9.611e-01,  energy_data=-1.575e+01,  energy_ebm=-1.479e+01,  regularize_term=4.814e-01
Epoch=86, loss_theta=-9.623e-01,  energy_data=-1.574e+01,  energy_ebm=-1.478e+01,  regularize_term=4.815e-01
Epoch=87, loss_theta=-9.678e-01,  energy_data=-1.578e+01,  energy_ebm=-1.481e+01,  regularize_term=4.836e-01
Epoch=88, loss_theta=-9.611e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.809e-01
Epoch=89, loss_theta=-9.750e-01,  energy_data=-1.584e+01,  energy_ebm=-1.486e+01,  regularize_term=4.870e-01
Epoch=90, loss_theta=-9.785e-01,  energy_data=-1.589e+01,  energy_ebm=-1.492e+01,  regularize_term=4.911e-01
Epoch=91, loss_theta=-9.819e-01,  energy_data=-1.587e+01,  energy_ebm=-1.489e+01,  regularize_term=4.893e-01
Epoch=92, loss_theta=-9.524e-01,  energy_data=-1.567e+01,  energy_ebm=-1.472e+01,  regularize_term=4.771e-01
Epoch=93, loss_theta=-9.751e-01,  energy_data=-1.584e+01,  energy_ebm=-1.487e+01,  regularize_term=4.872e-01
Epoch=94, loss_theta=-9.687e-01,  energy_data=-1.579e+01,  energy_ebm=-1.482e+01,  regularize_term=4.843e-01
Epoch=95, loss_theta=-9.834e-01,  energy_data=-1.591e+01,  energy_ebm=-1.493e+01,  regularize_term=4.917e-01
Epoch=96, loss_theta=-9.432e-01,  energy_data=-1.559e+01,  energy_ebm=-1.465e+01,  regularize_term=4.719e-01
Epoch=97, loss_theta=-9.368e-01,  energy_data=-1.552e+01,  energy_ebm=-1.458e+01,  regularize_term=4.679e-01
Epoch=98, loss_theta=-9.499e-01,  energy_data=-1.566e+01,  energy_ebm=-1.471e+01,  regularize_term=4.767e-01
