Epoch=1, loss_theta=-4.788e-01,  energy_data=-3.887e+00,  energy_ebm=-3.408e+00,  regularize_term=1.094e+01
Epoch=2, loss_theta=-3.441e-01,  energy_data=-3.027e+00,  energy_ebm=-2.683e+00,  regularize_term=1.814e-01
Epoch=3, loss_theta=-2.740e-01,  energy_data=-2.611e+00,  energy_ebm=-2.337e+00,  regularize_term=1.292e-01
Epoch=4, loss_theta=-2.187e-01,  energy_data=-2.361e+00,  energy_ebm=-2.143e+00,  regularize_term=1.072e-01
Epoch=5, loss_theta=-2.110e-01,  energy_data=-2.315e+00,  energy_ebm=-2.105e+00,  regularize_term=1.036e-01
Epoch=6, loss_theta=-2.003e-01,  energy_data=-2.255e+00,  energy_ebm=-2.054e+00,  regularize_term=9.846e-02
Epoch=7, loss_theta=-2.064e-01,  energy_data=-2.288e+00,  energy_ebm=-2.082e+00,  regularize_term=1.012e-01
Epoch=8, loss_theta=-1.990e-01,  energy_data=-2.237e+00,  energy_ebm=-2.038e+00,  regularize_term=9.758e-02
Epoch=9, loss_theta=-1.992e-01,  energy_data=-2.240e+00,  energy_ebm=-2.041e+00,  regularize_term=9.821e-02
Epoch=10, loss_theta=-2.020e-01,  energy_data=-2.256e+00,  energy_ebm=-2.054e+00,  regularize_term=1.002e-01
Epoch=11, loss_theta=-1.999e-01,  energy_data=-2.254e+00,  energy_ebm=-2.054e+00,  regularize_term=9.862e-02
Epoch=12, loss_theta=-2.013e-01,  energy_data=-2.264e+00,  energy_ebm=-2.062e+00,  regularize_term=1.006e-01
Epoch=13, loss_theta=-1.979e-01,  energy_data=-2.244e+00,  energy_ebm=-2.047e+00,  regularize_term=9.897e-02
Epoch=14, loss_theta=-1.921e-01,  energy_data=-2.212e+00,  energy_ebm=-2.019e+00,  regularize_term=9.561e-02
Epoch=15, loss_theta=-1.982e-01,  energy_data=-2.241e+00,  energy_ebm=-2.043e+00,  regularize_term=9.860e-02
Epoch=16, loss_theta=-1.932e-01,  energy_data=-2.216e+00,  energy_ebm=-2.023e+00,  regularize_term=9.652e-02
Epoch=17, loss_theta=-1.910e-01,  energy_data=-2.204e+00,  energy_ebm=-2.013e+00,  regularize_term=9.482e-02
Epoch=18, loss_theta=-1.915e-01,  energy_data=-2.204e+00,  energy_ebm=-2.012e+00,  regularize_term=9.595e-02
Epoch=19, loss_theta=-2.005e-01,  energy_data=-2.253e+00,  energy_ebm=-2.052e+00,  regularize_term=9.987e-02
Epoch=20, loss_theta=-2.017e-01,  energy_data=-2.266e+00,  energy_ebm=-2.065e+00,  regularize_term=1.004e-01
Epoch=21, loss_theta=-1.892e-01,  energy_data=-2.182e+00,  energy_ebm=-1.993e+00,  regularize_term=9.476e-02
Epoch=22, loss_theta=-1.940e-01,  energy_data=-2.215e+00,  energy_ebm=-2.021e+00,  regularize_term=9.681e-02
Epoch=23, loss_theta=-1.961e-01,  energy_data=-2.234e+00,  energy_ebm=-2.038e+00,  regularize_term=9.796e-02
Epoch=24, loss_theta=-1.971e-01,  energy_data=-2.236e+00,  energy_ebm=-2.039e+00,  regularize_term=9.805e-02
Epoch=25, loss_theta=-1.909e-01,  energy_data=-2.197e+00,  energy_ebm=-2.006e+00,  regularize_term=9.551e-02
Epoch=26, loss_theta=-1.948e-01,  energy_data=-2.222e+00,  energy_ebm=-2.027e+00,  regularize_term=9.713e-02
Epoch=27, loss_theta=-2.011e-01,  energy_data=-2.257e+00,  energy_ebm=-2.056e+00,  regularize_term=1.006e-01
Epoch=28, loss_theta=-1.965e-01,  energy_data=-2.233e+00,  energy_ebm=-2.036e+00,  regularize_term=9.809e-02
Epoch=29, loss_theta=-1.947e-01,  energy_data=-2.232e+00,  energy_ebm=-2.037e+00,  regularize_term=9.747e-02
Epoch=30, loss_theta=-1.926e-01,  energy_data=-2.209e+00,  energy_ebm=-2.016e+00,  regularize_term=9.580e-02
Epoch=31, loss_theta=-1.952e-01,  energy_data=-2.227e+00,  energy_ebm=-2.032e+00,  regularize_term=9.778e-02
Epoch=32, loss_theta=-1.929e-01,  energy_data=-2.211e+00,  energy_ebm=-2.018e+00,  regularize_term=9.650e-02
Epoch=33, loss_theta=-1.925e-01,  energy_data=-2.208e+00,  energy_ebm=-2.016e+00,  regularize_term=9.648e-02
Epoch=34, loss_theta=-1.970e-01,  energy_data=-2.242e+00,  energy_ebm=-2.045e+00,  regularize_term=9.889e-02
Epoch=35, loss_theta=-1.941e-01,  energy_data=-2.216e+00,  energy_ebm=-2.022e+00,  regularize_term=9.683e-02
Epoch=36, loss_theta=-1.999e-01,  energy_data=-2.256e+00,  energy_ebm=-2.056e+00,  regularize_term=9.983e-02
Epoch=37, loss_theta=-1.931e-01,  energy_data=-2.207e+00,  energy_ebm=-2.014e+00,  regularize_term=9.681e-02
Epoch=38, loss_theta=-1.906e-01,  energy_data=-2.200e+00,  energy_ebm=-2.009e+00,  regularize_term=9.517e-02
Epoch=39, loss_theta=-1.932e-01,  energy_data=-2.204e+00,  energy_ebm=-2.011e+00,  regularize_term=9.652e-02
Epoch=40, loss_theta=-1.989e-01,  energy_data=-2.245e+00,  energy_ebm=-2.046e+00,  regularize_term=1.000e-01
Epoch=41, loss_theta=-1.901e-01,  energy_data=-2.200e+00,  energy_ebm=-2.010e+00,  regularize_term=9.492e-02
Epoch=42, loss_theta=-1.922e-01,  energy_data=-2.208e+00,  energy_ebm=-2.016e+00,  regularize_term=9.631e-02
Epoch=43, loss_theta=-1.910e-01,  energy_data=-2.195e+00,  energy_ebm=-2.004e+00,  regularize_term=9.554e-02
Epoch=44, loss_theta=-1.912e-01,  energy_data=-2.201e+00,  energy_ebm=-2.009e+00,  regularize_term=9.563e-02
Epoch=45, loss_theta=-1.933e-01,  energy_data=-2.214e+00,  energy_ebm=-2.021e+00,  regularize_term=9.717e-02
Epoch=46, loss_theta=-1.936e-01,  energy_data=-2.217e+00,  energy_ebm=-2.023e+00,  regularize_term=9.641e-02
Epoch=47, loss_theta=-1.940e-01,  energy_data=-2.218e+00,  energy_ebm=-2.024e+00,  regularize_term=9.743e-02
Epoch=48, loss_theta=-1.980e-01,  energy_data=-2.235e+00,  energy_ebm=-2.037e+00,  regularize_term=9.925e-02
Epoch=49, loss_theta=-1.963e-01,  energy_data=-2.227e+00,  energy_ebm=-2.030e+00,  regularize_term=9.802e-02
Epoch=50, loss_theta=-1.952e-01,  energy_data=-2.227e+00,  energy_ebm=-2.031e+00,  regularize_term=9.865e-02
Epoch=51, loss_theta=-1.970e-01,  energy_data=-2.223e+00,  energy_ebm=-2.026e+00,  regularize_term=9.842e-02
Epoch=52, loss_theta=-1.935e-01,  energy_data=-2.209e+00,  energy_ebm=-2.015e+00,  regularize_term=9.633e-02
Epoch=53, loss_theta=-1.890e-01,  energy_data=-2.194e+00,  energy_ebm=-2.005e+00,  regularize_term=9.496e-02
Epoch=54, loss_theta=-1.886e-01,  energy_data=-2.191e+00,  energy_ebm=-2.002e+00,  regularize_term=9.411e-02
Epoch=55, loss_theta=-1.913e-01,  energy_data=-2.202e+00,  energy_ebm=-2.011e+00,  regularize_term=9.573e-02
Epoch=56, loss_theta=-1.964e-01,  energy_data=-2.232e+00,  energy_ebm=-2.036e+00,  regularize_term=9.812e-02
Epoch=57, loss_theta=-1.909e-01,  energy_data=-2.204e+00,  energy_ebm=-2.013e+00,  regularize_term=9.566e-02
Epoch=58, loss_theta=-1.894e-01,  energy_data=-2.193e+00,  energy_ebm=-2.004e+00,  regularize_term=9.473e-02
Epoch=59, loss_theta=-1.915e-01,  energy_data=-2.200e+00,  energy_ebm=-2.009e+00,  regularize_term=9.617e-02
Epoch=60, loss_theta=-1.903e-01,  energy_data=-2.198e+00,  energy_ebm=-2.007e+00,  regularize_term=9.500e-02
Epoch=61, loss_theta=-1.992e-01,  energy_data=-2.249e+00,  energy_ebm=-2.049e+00,  regularize_term=9.966e-02
Epoch=62, loss_theta=-1.882e-01,  energy_data=-2.183e+00,  energy_ebm=-1.995e+00,  regularize_term=9.421e-02
Epoch=63, loss_theta=-1.883e-01,  energy_data=-2.183e+00,  energy_ebm=-1.995e+00,  regularize_term=9.443e-02
Epoch=64, loss_theta=-1.913e-01,  energy_data=-2.210e+00,  energy_ebm=-2.019e+00,  regularize_term=9.569e-02
Epoch=65, loss_theta=-1.903e-01,  energy_data=-2.200e+00,  energy_ebm=-2.009e+00,  regularize_term=9.530e-02
Epoch=66, loss_theta=-1.914e-01,  energy_data=-2.205e+00,  energy_ebm=-2.013e+00,  regularize_term=9.565e-02
Epoch=67, loss_theta=-1.904e-01,  energy_data=-2.196e+00,  energy_ebm=-2.005e+00,  regularize_term=9.573e-02
Epoch=68, loss_theta=-1.919e-01,  energy_data=-2.209e+00,  energy_ebm=-2.017e+00,  regularize_term=9.594e-02
Epoch=69, loss_theta=-1.949e-01,  energy_data=-2.223e+00,  energy_ebm=-2.028e+00,  regularize_term=9.754e-02
Epoch=70, loss_theta=-1.920e-01,  energy_data=-2.204e+00,  energy_ebm=-2.012e+00,  regularize_term=9.583e-02
Epoch=71, loss_theta=-1.861e-01,  energy_data=-2.176e+00,  energy_ebm=-1.990e+00,  regularize_term=9.324e-02
Epoch=72, loss_theta=-1.910e-01,  energy_data=-2.194e+00,  energy_ebm=-2.003e+00,  regularize_term=9.578e-02
Epoch=73, loss_theta=-1.913e-01,  energy_data=-2.204e+00,  energy_ebm=-2.013e+00,  regularize_term=9.541e-02
Epoch=74, loss_theta=-1.910e-01,  energy_data=-2.213e+00,  energy_ebm=-2.022e+00,  regularize_term=9.602e-02
