Epoch=1, loss_theta=1.137e+01,  energy_data=-4.139e+00,  energy_ebm=-1.551e+01,  regularize_term=1.617e+03
Epoch=2, loss_theta=5.387e-01,  energy_data=-3.589e+00,  energy_ebm=-4.127e+00,  regularize_term=1.552e+01
Epoch=3, loss_theta=-3.649e-01,  energy_data=-3.121e+00,  energy_ebm=-2.756e+00,  regularize_term=1.844e-01
Epoch=4, loss_theta=-3.504e-01,  energy_data=-3.025e+00,  energy_ebm=-2.675e+00,  regularize_term=1.733e-01
Epoch=5, loss_theta=-3.421e-01,  energy_data=-3.005e+00,  energy_ebm=-2.662e+00,  regularize_term=1.710e-01
Epoch=6, loss_theta=-3.596e-01,  energy_data=-3.079e+00,  energy_ebm=-2.719e+00,  regularize_term=1.792e-01
Epoch=7, loss_theta=-3.552e-01,  energy_data=-3.061e+00,  energy_ebm=-2.706e+00,  regularize_term=1.773e-01
Epoch=8, loss_theta=-3.672e-01,  energy_data=-3.112e+00,  energy_ebm=-2.745e+00,  regularize_term=1.828e-01
Epoch=9, loss_theta=-3.405e-01,  energy_data=-3.004e+00,  energy_ebm=-2.664e+00,  regularize_term=1.709e-01
Epoch=10, loss_theta=-3.600e-01,  energy_data=-3.081e+00,  energy_ebm=-2.721e+00,  regularize_term=1.793e-01
Epoch=11, loss_theta=-3.429e-01,  energy_data=-3.010e+00,  energy_ebm=-2.668e+00,  regularize_term=1.716e-01
Epoch=12, loss_theta=-3.459e-01,  energy_data=-3.018e+00,  energy_ebm=-2.672e+00,  regularize_term=1.724e-01
Epoch=13, loss_theta=-3.464e-01,  energy_data=-3.024e+00,  energy_ebm=-2.678e+00,  regularize_term=1.731e-01
Epoch=14, loss_theta=-3.461e-01,  energy_data=-3.025e+00,  energy_ebm=-2.679e+00,  regularize_term=1.734e-01
Epoch=15, loss_theta=-3.358e-01,  energy_data=-2.979e+00,  energy_ebm=-2.643e+00,  regularize_term=1.681e-01
Epoch=16, loss_theta=-3.357e-01,  energy_data=-2.978e+00,  energy_ebm=-2.642e+00,  regularize_term=1.681e-01
Epoch=17, loss_theta=-3.397e-01,  energy_data=-2.995e+00,  energy_ebm=-2.655e+00,  regularize_term=1.700e-01
Epoch=18, loss_theta=-3.275e-01,  energy_data=-2.940e+00,  energy_ebm=-2.612e+00,  regularize_term=1.639e-01
Epoch=19, loss_theta=-3.411e-01,  energy_data=-3.000e+00,  energy_ebm=-2.659e+00,  regularize_term=1.707e-01
Epoch=20, loss_theta=-3.202e-01,  energy_data=-2.906e+00,  energy_ebm=-2.586e+00,  regularize_term=1.604e-01
Epoch=21, loss_theta=-3.361e-01,  energy_data=-2.975e+00,  energy_ebm=-2.639e+00,  regularize_term=1.677e-01
Epoch=22, loss_theta=-3.249e-01,  energy_data=-2.931e+00,  energy_ebm=-2.606e+00,  regularize_term=1.630e-01
Epoch=23, loss_theta=-3.257e-01,  energy_data=-2.933e+00,  energy_ebm=-2.608e+00,  regularize_term=1.631e-01
