Epoch=1, loss_theta=1.098e+00,  energy_data=-8.110e+00,  energy_ebm=-9.208e+00,  regularize_term=3.602e+00
Epoch=2, loss_theta=-7.899e-01,  energy_data=-1.408e+01,  energy_ebm=-1.329e+01,  regularize_term=3.911e-01
Epoch=3, loss_theta=-9.046e-01,  energy_data=-1.532e+01,  energy_ebm=-1.441e+01,  regularize_term=4.565e-01
Epoch=4, loss_theta=-9.180e-01,  energy_data=-1.539e+01,  energy_ebm=-1.448e+01,  regularize_term=4.610e-01
Epoch=5, loss_theta=-9.293e-01,  energy_data=-1.549e+01,  energy_ebm=-1.457e+01,  regularize_term=4.667e-01
Epoch=6, loss_theta=-9.617e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.813e-01
Epoch=7, loss_theta=-9.450e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.747e-01
Epoch=8, loss_theta=-9.435e-01,  energy_data=-1.558e+01,  energy_ebm=-1.464e+01,  regularize_term=4.719e-01
Epoch=9, loss_theta=-9.275e-01,  energy_data=-1.546e+01,  energy_ebm=-1.453e+01,  regularize_term=4.647e-01
Epoch=10, loss_theta=-9.393e-01,  energy_data=-1.556e+01,  energy_ebm=-1.462e+01,  regularize_term=4.708e-01
Epoch=11, loss_theta=-9.288e-01,  energy_data=-1.547e+01,  energy_ebm=-1.454e+01,  regularize_term=4.653e-01
Epoch=12, loss_theta=-9.413e-01,  energy_data=-1.557e+01,  energy_ebm=-1.462e+01,  regularize_term=4.710e-01
Epoch=13, loss_theta=-9.553e-01,  energy_data=-1.567e+01,  energy_ebm=-1.471e+01,  regularize_term=4.773e-01
Epoch=14, loss_theta=-9.723e-01,  energy_data=-1.582e+01,  energy_ebm=-1.485e+01,  regularize_term=4.863e-01
Epoch=15, loss_theta=-9.695e-01,  energy_data=-1.581e+01,  energy_ebm=-1.484e+01,  regularize_term=4.858e-01
Epoch=16, loss_theta=-9.499e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.749e-01
Epoch=17, loss_theta=-9.320e-01,  energy_data=-1.548e+01,  energy_ebm=-1.455e+01,  regularize_term=4.661e-01
Epoch=18, loss_theta=-9.383e-01,  energy_data=-1.555e+01,  energy_ebm=-1.461e+01,  regularize_term=4.702e-01
Epoch=19, loss_theta=-9.393e-01,  energy_data=-1.555e+01,  energy_ebm=-1.461e+01,  regularize_term=4.705e-01
Epoch=20, loss_theta=-9.308e-01,  energy_data=-1.546e+01,  energy_ebm=-1.453e+01,  regularize_term=4.645e-01
Epoch=21, loss_theta=-9.454e-01,  energy_data=-1.559e+01,  energy_ebm=-1.465e+01,  regularize_term=4.732e-01
Epoch=22, loss_theta=-9.360e-01,  energy_data=-1.553e+01,  energy_ebm=-1.459e+01,  regularize_term=4.690e-01
Epoch=23, loss_theta=-9.388e-01,  energy_data=-1.554e+01,  energy_ebm=-1.460e+01,  regularize_term=4.699e-01
Epoch=24, loss_theta=-9.292e-01,  energy_data=-1.545e+01,  energy_ebm=-1.452e+01,  regularize_term=4.642e-01
Epoch=25, loss_theta=-9.464e-01,  energy_data=-1.560e+01,  energy_ebm=-1.465e+01,  regularize_term=4.732e-01
Epoch=26, loss_theta=-9.347e-01,  energy_data=-1.551e+01,  energy_ebm=-1.458e+01,  regularize_term=4.678e-01
Epoch=27, loss_theta=-9.487e-01,  energy_data=-1.560e+01,  energy_ebm=-1.465e+01,  regularize_term=4.741e-01
Epoch=28, loss_theta=-9.458e-01,  energy_data=-1.562e+01,  energy_ebm=-1.467e+01,  regularize_term=4.744e-01
Epoch=29, loss_theta=-9.420e-01,  energy_data=-1.554e+01,  energy_ebm=-1.460e+01,  regularize_term=4.703e-01
