Epoch=1, loss=-2.061e-02,  energy_data=8.069e-01,  energy_ebm=8.375e-01
Epoch=2, loss=-8.061e-03,  energy_data=7.043e-01,  energy_ebm=7.154e-01
Epoch=3, loss=-1.362e-02,  energy_data=6.490e-01,  energy_ebm=6.649e-01
Epoch=4, loss=-6.591e-03,  energy_data=6.800e-01,  energy_ebm=6.891e-01
Epoch=5, loss=-2.778e-03,  energy_data=6.253e-01,  energy_ebm=6.302e-01
Epoch=6, loss=-2.681e-03,  energy_data=5.357e-01,  energy_ebm=5.399e-01
Epoch=7, loss=-3.277e-03,  energy_data=5.409e-01,  energy_ebm=5.458e-01
Epoch=8, loss=-1.957e-03,  energy_data=5.519e-01,  energy_ebm=5.555e-01
Epoch=9, loss=-2.181e-03,  energy_data=5.309e-01,  energy_ebm=5.346e-01
Epoch=10, loss=-1.453e-03,  energy_data=5.173e-01,  energy_ebm=5.202e-01
Epoch=11, loss=-1.551e-03,  energy_data=4.987e-01,  energy_ebm=5.016e-01
Epoch=12, loss=-1.512e-03,  energy_data=5.075e-01,  energy_ebm=5.105e-01
Epoch=13, loss=-1.661e-03,  energy_data=5.023e-01,  energy_ebm=5.053e-01
Epoch=14, loss=-1.115e-03,  energy_data=4.980e-01,  energy_ebm=5.005e-01
Epoch=15, loss=-1.641e-03,  energy_data=4.721e-01,  energy_ebm=4.750e-01
Epoch=16, loss=-1.488e-03,  energy_data=4.645e-01,  energy_ebm=4.672e-01
Epoch=17, loss=-1.219e-03,  energy_data=4.557e-01,  energy_ebm=4.581e-01
Epoch=18, loss=-1.722e-03,  energy_data=4.846e-01,  energy_ebm=4.877e-01
Epoch=19, loss=-1.277e-03,  energy_data=4.482e-01,  energy_ebm=4.506e-01
Epoch=20, loss=-1.301e-03,  energy_data=4.406e-01,  energy_ebm=4.431e-01
Epoch=21, loss=-1.151e-03,  energy_data=4.656e-01,  energy_ebm=4.680e-01
Epoch=22, loss=-2.026e-03,  energy_data=4.425e-01,  energy_ebm=4.457e-01
Epoch=23, loss=-1.363e-03,  energy_data=4.597e-01,  energy_ebm=4.623e-01
Epoch=24, loss=-1.645e-03,  energy_data=4.686e-01,  energy_ebm=4.715e-01
Epoch=25, loss=-1.541e-03,  energy_data=4.578e-01,  energy_ebm=4.606e-01
Epoch=26, loss=-2.135e-03,  energy_data=4.486e-01,  energy_ebm=4.518e-01
Epoch=27, loss=-1.701e-03,  energy_data=4.568e-01,  energy_ebm=4.597e-01
Epoch=28, loss=-1.858e-03,  energy_data=4.856e-01,  energy_ebm=4.888e-01
Epoch=29, loss=-1.869e-03,  energy_data=4.624e-01,  energy_ebm=4.655e-01
Epoch=30, loss=-1.280e-03,  energy_data=4.692e-01,  energy_ebm=4.717e-01
Epoch=31, loss=-5.895e-04,  energy_data=4.626e-01,  energy_ebm=4.644e-01
