Epoch=68, loss=-1.644e+24,  energy_data=-7.192e+07,  energy_ebm=1.644e+24
Epoch=69, loss=-1.671e+24,  energy_data=-9.348e+07,  energy_ebm=1.671e+24
Epoch=70, loss=-1.698e+24,  energy_data=-9.400e+07,  energy_ebm=1.698e+24
Epoch=71, loss=-1.724e+24,  energy_data=-6.562e+07,  energy_ebm=1.724e+24
Epoch=72, loss=-1.750e+24,  energy_data=-8.730e+07,  energy_ebm=1.750e+24
Epoch=73, loss=-1.775e+24,  energy_data=-6.053e+07,  energy_ebm=1.775e+24
Epoch=74, loss=-1.801e+24,  energy_data=-6.025e+07,  energy_ebm=1.801e+24
Epoch=75, loss=-1.825e+24,  energy_data=-4.963e+07,  energy_ebm=1.825e+24
Epoch=76, loss=-1.850e+24,  energy_data=-4.718e+07,  energy_ebm=1.850e+24
Epoch=77, loss=-1.874e+24,  energy_data=-3.344e+07,  energy_ebm=1.874e+24
Epoch=78, loss=-1.897e+24,  energy_data=-3.126e+07,  energy_ebm=1.897e+24
Epoch=79, loss=-1.921e+24,  energy_data=-2.420e+07,  energy_ebm=1.921e+24
Epoch=80, loss=-1.944e+24,  energy_data=-1.655e+07,  energy_ebm=1.944e+24
Epoch=81, loss=-1.967e+24,  energy_data=-9.267e+06,  energy_ebm=1.967e+24
Epoch=82, loss=-1.991e+24,  energy_data=-1.570e+07,  energy_ebm=1.991e+24
Epoch=83, loss=-2.014e+24,  energy_data=-8.854e+06,  energy_ebm=2.014e+24
Epoch=84, loss=-2.037e+24,  energy_data=-6.961e+06,  energy_ebm=2.037e+24
