Epoch=1, loss=-5.504e-02,  energy_data=6.937e-01,  energy_ebm=7.521e-01
Epoch=2, loss=-1.372e-02,  energy_data=5.063e-01,  energy_ebm=5.217e-01
Epoch=3, loss=-6.477e-03,  energy_data=4.291e-01,  energy_ebm=4.367e-01
Epoch=4, loss=-7.318e-03,  energy_data=4.963e-01,  energy_ebm=5.051e-01
Epoch=5, loss=-5.005e-03,  energy_data=5.053e-01,  energy_ebm=5.119e-01
Epoch=6, loss=-5.674e-03,  energy_data=5.240e-01,  energy_ebm=5.315e-01
Epoch=7, loss=-5.848e-03,  energy_data=5.347e-01,  energy_ebm=5.424e-01
Epoch=8, loss=-4.419e-03,  energy_data=5.295e-01,  energy_ebm=5.358e-01
Epoch=9, loss=-4.514e-03,  energy_data=5.498e-01,  energy_ebm=5.564e-01
Epoch=10, loss=-3.445e-03,  energy_data=5.650e-01,  energy_ebm=5.707e-01
Epoch=11, loss=-5.617e-03,  energy_data=5.337e-01,  energy_ebm=5.413e-01
Epoch=12, loss=-5.114e-03,  energy_data=5.255e-01,  energy_ebm=5.325e-01
Epoch=13, loss=-3.887e-03,  energy_data=5.438e-01,  energy_ebm=5.498e-01
Epoch=14, loss=-3.885e-03,  energy_data=5.535e-01,  energy_ebm=5.595e-01
Epoch=15, loss=-3.487e-03,  energy_data=5.075e-01,  energy_ebm=5.127e-01
Epoch=16, loss=-3.801e-03,  energy_data=5.233e-01,  energy_ebm=5.290e-01
Epoch=17, loss=-4.004e-03,  energy_data=5.488e-01,  energy_ebm=5.549e-01
Epoch=18, loss=-4.525e-03,  energy_data=5.287e-01,  energy_ebm=5.352e-01
Epoch=19, loss=-3.860e-03,  energy_data=5.416e-01,  energy_ebm=5.475e-01
Epoch=20, loss=-3.167e-03,  energy_data=5.478e-01,  energy_ebm=5.531e-01
Epoch=21, loss=-3.886e-03,  energy_data=5.480e-01,  energy_ebm=5.540e-01
Epoch=22, loss=-4.073e-03,  energy_data=5.559e-01,  energy_ebm=5.621e-01
Epoch=23, loss=-3.355e-03,  energy_data=5.314e-01,  energy_ebm=5.367e-01
Epoch=24, loss=-4.039e-03,  energy_data=5.736e-01,  energy_ebm=5.800e-01
Epoch=25, loss=-3.134e-03,  energy_data=5.604e-01,  energy_ebm=5.657e-01
Epoch=26, loss=-6.123e-03,  energy_data=5.952e-01,  energy_ebm=6.038e-01
Epoch=27, loss=-2.024e-03,  energy_data=5.612e-01,  energy_ebm=5.654e-01
Epoch=28, loss=-2.857e-03,  energy_data=5.366e-01,  energy_ebm=5.415e-01
Epoch=29, loss=-3.319e-03,  energy_data=5.685e-01,  energy_ebm=5.741e-01
Epoch=30, loss=-3.123e-03,  energy_data=5.692e-01,  energy_ebm=5.746e-01
Epoch=31, loss=-4.536e-03,  energy_data=5.999e-01,  energy_ebm=6.070e-01
Epoch=32, loss=-3.752e-03,  energy_data=5.981e-01,  energy_ebm=6.045e-01
Epoch=33, loss=-4.614e-03,  energy_data=6.077e-01,  energy_ebm=6.149e-01
Epoch=34, loss=-4.651e-03,  energy_data=5.862e-01,  energy_ebm=5.934e-01
Epoch=35, loss=-3.737e-03,  energy_data=5.718e-01,  energy_ebm=5.779e-01
Epoch=36, loss=-4.051e-03,  energy_data=5.945e-01,  energy_ebm=6.012e-01
Epoch=37, loss=-3.873e-03,  energy_data=6.223e-01,  energy_ebm=6.290e-01
Epoch=38, loss=-5.120e-03,  energy_data=6.103e-01,  energy_ebm=6.182e-01
Epoch=39, loss=-4.866e-03,  energy_data=5.840e-01,  energy_ebm=5.913e-01
Epoch=40, loss=-4.513e-03,  energy_data=6.350e-01,  energy_ebm=6.425e-01
Epoch=41, loss=-3.991e-03,  energy_data=5.995e-01,  energy_ebm=6.061e-01
Epoch=42, loss=-5.634e-03,  energy_data=6.220e-01,  energy_ebm=6.305e-01
Epoch=43, loss=-4.068e-03,  energy_data=6.348e-01,  energy_ebm=6.418e-01
Epoch=44, loss=-5.807e-03,  energy_data=6.472e-01,  energy_ebm=6.560e-01
Epoch=45, loss=-5.973e-03,  energy_data=6.500e-01,  energy_ebm=6.590e-01
Epoch=46, loss=-4.717e-03,  energy_data=6.618e-01,  energy_ebm=6.696e-01
Epoch=47, loss=-4.932e-03,  energy_data=6.474e-01,  energy_ebm=6.554e-01
Epoch=48, loss=-4.376e-03,  energy_data=6.398e-01,  energy_ebm=6.471e-01
Epoch=49, loss=-7.344e-03,  energy_data=6.345e-01,  energy_ebm=6.447e-01
Epoch=50, loss=-4.909e-03,  energy_data=6.378e-01,  energy_ebm=6.457e-01
Epoch=51, loss=-4.245e-03,  energy_data=6.483e-01,  energy_ebm=6.557e-01
Epoch=52, loss=-6.813e-03,  energy_data=6.621e-01,  energy_ebm=6.721e-01
Epoch=53, loss=-6.725e-03,  energy_data=6.557e-01,  energy_ebm=6.656e-01
Epoch=54, loss=-4.510e-03,  energy_data=6.787e-01,  energy_ebm=6.866e-01
Epoch=55, loss=-7.098e-03,  energy_data=6.797e-01,  energy_ebm=6.901e-01
Epoch=56, loss=-6.727e-03,  energy_data=6.805e-01,  energy_ebm=6.906e-01
Epoch=57, loss=-4.888e-03,  energy_data=6.581e-01,  energy_ebm=6.662e-01
Epoch=58, loss=-7.611e-03,  energy_data=6.966e-01,  energy_ebm=7.079e-01
Epoch=59, loss=-7.182e-03,  energy_data=6.743e-01,  energy_ebm=6.849e-01
Epoch=60, loss=-6.918e-03,  energy_data=6.721e-01,  energy_ebm=6.824e-01
Epoch=61, loss=-6.741e-03,  energy_data=6.630e-01,  energy_ebm=6.729e-01
Epoch=62, loss=-8.688e-03,  energy_data=6.866e-01,  energy_ebm=6.987e-01
Epoch=63, loss=-7.328e-03,  energy_data=7.087e-01,  energy_ebm=7.198e-01
Epoch=64, loss=-8.678e-03,  energy_data=6.916e-01,  energy_ebm=7.038e-01
Epoch=65, loss=-6.077e-03,  energy_data=6.803e-01,  energy_ebm=6.898e-01
Epoch=66, loss=-6.447e-03,  energy_data=6.806e-01,  energy_ebm=6.905e-01
Epoch=67, loss=-8.221e-03,  energy_data=6.806e-01,  energy_ebm=6.923e-01
Epoch=68, loss=-5.848e-03,  energy_data=6.730e-01,  energy_ebm=6.821e-01
Epoch=69, loss=-6.720e-03,  energy_data=6.940e-01,  energy_ebm=7.043e-01
Epoch=70, loss=-6.663e-03,  energy_data=7.277e-01,  energy_ebm=7.382e-01
Epoch=71, loss=-7.283e-03,  energy_data=7.381e-01,  energy_ebm=7.494e-01
Epoch=72, loss=-9.601e-03,  energy_data=7.282e-01,  energy_ebm=7.417e-01
