Epoch=70, loss=-1.683e+02,  energy_data=1.125e+00,  energy_ebm=1.695e+02
Epoch=71, loss=-1.684e+02,  energy_data=1.097e+00,  energy_ebm=1.696e+02
Epoch=72, loss=-1.673e+02,  energy_data=1.279e+00,  energy_ebm=1.686e+02
Epoch=73, loss=-1.711e+02,  energy_data=1.036e+00,  energy_ebm=1.722e+02
Epoch=74, loss=-1.695e+02,  energy_data=1.140e+00,  energy_ebm=1.706e+02
Epoch=75, loss=-1.694e+02,  energy_data=1.170e+00,  energy_ebm=1.707e+02
Epoch=76, loss=-1.712e+02,  energy_data=1.072e+00,  energy_ebm=1.723e+02
Epoch=77, loss=-1.700e+02,  energy_data=1.460e+00,  energy_ebm=1.715e+02
Epoch=78, loss=-1.703e+02,  energy_data=1.161e+00,  energy_ebm=1.715e+02
Epoch=79, loss=-1.705e+02,  energy_data=1.349e+00,  energy_ebm=1.719e+02
Epoch=80, loss=-1.708e+02,  energy_data=1.207e+00,  energy_ebm=1.720e+02
Epoch=81, loss=-1.711e+02,  energy_data=1.362e+00,  energy_ebm=1.726e+02
Epoch=82, loss=-1.738e+02,  energy_data=1.187e+00,  energy_ebm=1.750e+02
Epoch=83, loss=-1.728e+02,  energy_data=1.197e+00,  energy_ebm=1.740e+02
Epoch=84, loss=-1.730e+02,  energy_data=1.265e+00,  energy_ebm=1.743e+02
Epoch=85, loss=-1.744e+02,  energy_data=1.279e+00,  energy_ebm=1.757e+02
Epoch=86, loss=-1.743e+02,  energy_data=1.458e+00,  energy_ebm=1.758e+02
Epoch=87, loss=-1.742e+02,  energy_data=1.643e+00,  energy_ebm=1.759e+02
Epoch=88, loss=-1.754e+02,  energy_data=1.332e+00,  energy_ebm=1.768e+02
Epoch=89, loss=-1.763e+02,  energy_data=1.319e+00,  energy_ebm=1.777e+02
Epoch=90, loss=-1.769e+02,  energy_data=1.724e+00,  energy_ebm=1.787e+02
Epoch=91, loss=-1.787e+02,  energy_data=1.488e+00,  energy_ebm=1.803e+02
Epoch=92, loss=-1.767e+02,  energy_data=1.569e+00,  energy_ebm=1.784e+02
Epoch=93, loss=-1.771e+02,  energy_data=1.350e+00,  energy_ebm=1.785e+02
Epoch=94, loss=-1.772e+02,  energy_data=1.570e+00,  energy_ebm=1.789e+02
Epoch=95, loss=-1.778e+02,  energy_data=1.369e+00,  energy_ebm=1.792e+02
Epoch=96, loss=-1.779e+02,  energy_data=1.513e+00,  energy_ebm=1.794e+02
Epoch=97, loss=-1.788e+02,  energy_data=1.476e+00,  energy_ebm=1.803e+02
Epoch=98, loss=-1.790e+02,  energy_data=1.856e+00,  energy_ebm=1.809e+02
Epoch=99, loss=-1.849e+02,  energy_data=1.337e+00,  energy_ebm=1.862e+02
Epoch=100, loss=-1.853e+02,  energy_data=1.634e+00,  energy_ebm=1.869e+02
Epoch=101, loss=-1.822e+02,  energy_data=1.584e+00,  energy_ebm=1.838e+02
Epoch=102, loss=-1.813e+02,  energy_data=1.679e+00,  energy_ebm=1.830e+02
Epoch=103, loss=-1.818e+02,  energy_data=1.603e+00,  energy_ebm=1.835e+02
Epoch=104, loss=-1.827e+02,  energy_data=1.316e+00,  energy_ebm=1.841e+02
Epoch=105, loss=-1.827e+02,  energy_data=1.397e+00,  energy_ebm=1.841e+02
Epoch=106, loss=-1.829e+02,  energy_data=1.363e+00,  energy_ebm=1.843e+02
Epoch=107, loss=-1.825e+02,  energy_data=1.734e+00,  energy_ebm=1.843e+02
Epoch=108, loss=-1.828e+02,  energy_data=1.569e+00,  energy_ebm=1.844e+02
Epoch=109, loss=-1.877e+02,  energy_data=1.321e+00,  energy_ebm=1.891e+02
Epoch=110, loss=-1.857e+02,  energy_data=2.002e+00,  energy_ebm=1.878e+02
Epoch=111, loss=-1.855e+02,  energy_data=1.489e+00,  energy_ebm=1.870e+02
Epoch=112, loss=-1.844e+02,  energy_data=1.850e+00,  energy_ebm=1.863e+02
Epoch=113, loss=-1.855e+02,  energy_data=1.461e+00,  energy_ebm=1.870e+02
Epoch=114, loss=-1.868e+02,  energy_data=1.511e+00,  energy_ebm=1.884e+02
Epoch=115, loss=-1.863e+02,  energy_data=1.403e+00,  energy_ebm=1.877e+02
Epoch=116, loss=-1.863e+02,  energy_data=1.453e+00,  energy_ebm=1.878e+02
Epoch=117, loss=-1.860e+02,  energy_data=2.100e+00,  energy_ebm=1.882e+02
Epoch=118, loss=-1.871e+02,  energy_data=1.497e+00,  energy_ebm=1.887e+02
Epoch=119, loss=-1.877e+02,  energy_data=1.711e+00,  energy_ebm=1.894e+02
Epoch=120, loss=-1.876e+02,  energy_data=1.920e+00,  energy_ebm=1.896e+02
Epoch=121, loss=-1.883e+02,  energy_data=1.717e+00,  energy_ebm=1.901e+02
Epoch=122, loss=-1.900e+02,  energy_data=1.739e+00,  energy_ebm=1.919e+02
Epoch=123, loss=-1.903e+02,  energy_data=1.816e+00,  energy_ebm=1.922e+02
Epoch=124, loss=-1.900e+02,  energy_data=1.849e+00,  energy_ebm=1.919e+02
Epoch=125, loss=-1.901e+02,  energy_data=1.629e+00,  energy_ebm=1.918e+02
Epoch=126, loss=-1.900e+02,  energy_data=2.089e+00,  energy_ebm=1.922e+02
Epoch=127, loss=-1.915e+02,  energy_data=1.568e+00,  energy_ebm=1.932e+02
Epoch=128, loss=-1.933e+02,  energy_data=1.699e+00,  energy_ebm=1.951e+02
Epoch=129, loss=-1.921e+02,  energy_data=1.915e+00,  energy_ebm=1.941e+02
Epoch=130, loss=-1.921e+02,  energy_data=1.951e+00,  energy_ebm=1.941e+02
Epoch=131, loss=-1.924e+02,  energy_data=1.929e+00,  energy_ebm=1.944e+02
Epoch=132, loss=-1.944e+02,  energy_data=1.746e+00,  energy_ebm=1.962e+02
Epoch=133, loss=-1.955e+02,  energy_data=1.971e+00,  energy_ebm=1.975e+02
Epoch=134, loss=-1.939e+02,  energy_data=2.150e+00,  energy_ebm=1.961e+02
Epoch=135, loss=-1.944e+02,  energy_data=1.641e+00,  energy_ebm=1.961e+02
Epoch=136, loss=-1.950e+02,  energy_data=1.549e+00,  energy_ebm=1.966e+02
Epoch=137, loss=-1.958e+02,  energy_data=1.634e+00,  energy_ebm=1.975e+02
Epoch=138, loss=-1.964e+02,  energy_data=2.058e+00,  energy_ebm=1.986e+02
Epoch=139, loss=-1.964e+02,  energy_data=1.360e+00,  energy_ebm=1.978e+02
Epoch=140, loss=-1.960e+02,  energy_data=1.928e+00,  energy_ebm=1.980e+02
Epoch=141, loss=-1.965e+02,  energy_data=1.643e+00,  energy_ebm=1.982e+02
Epoch=142, loss=-1.970e+02,  energy_data=1.848e+00,  energy_ebm=1.989e+02
Epoch=143, loss=-1.976e+02,  energy_data=1.652e+00,  energy_ebm=1.993e+02
Epoch=144, loss=-1.987e+02,  energy_data=1.643e+00,  energy_ebm=2.005e+02
Epoch=145, loss=-2.018e+02,  energy_data=1.624e+00,  energy_ebm=2.035e+02
Epoch=146, loss=-2.002e+02,  energy_data=1.488e+00,  energy_ebm=2.018e+02
Epoch=147, loss=-1.996e+02,  energy_data=1.422e+00,  energy_ebm=2.011e+02
Epoch=148, loss=-1.990e+02,  energy_data=2.317e+00,  energy_ebm=2.014e+02
Epoch=149, loss=-2.009e+02,  energy_data=1.562e+00,  energy_ebm=2.025e+02
Epoch=150, loss=-2.008e+02,  energy_data=1.582e+00,  energy_ebm=2.024e+02
