Epoch=70, loss=-3.874e+24,  energy_data=7.962e+11,  energy_ebm=3.875e+24
Epoch=71, loss=-3.927e+24,  energy_data=8.526e+11,  energy_ebm=3.928e+24
Epoch=72, loss=-3.974e+24,  energy_data=9.431e+11,  energy_ebm=3.975e+24
Epoch=73, loss=-4.025e+24,  energy_data=1.052e+12,  energy_ebm=4.026e+24
Epoch=74, loss=-4.080e+24,  energy_data=1.174e+12,  energy_ebm=4.082e+24
Epoch=75, loss=-4.130e+24,  energy_data=1.249e+12,  energy_ebm=4.132e+24
Epoch=76, loss=-4.181e+24,  energy_data=1.283e+12,  energy_ebm=4.183e+24
Epoch=77, loss=-4.229e+24,  energy_data=1.306e+12,  energy_ebm=4.231e+24
Epoch=78, loss=-4.285e+24,  energy_data=1.330e+12,  energy_ebm=4.287e+24
Epoch=79, loss=-4.337e+24,  energy_data=1.357e+12,  energy_ebm=4.339e+24
Epoch=80, loss=-4.386e+24,  energy_data=1.385e+12,  energy_ebm=4.388e+24
Epoch=81, loss=-4.438e+24,  energy_data=1.415e+12,  energy_ebm=4.440e+24
Epoch=82, loss=-4.492e+24,  energy_data=1.445e+12,  energy_ebm=4.494e+24
Epoch=83, loss=-4.544e+24,  energy_data=1.478e+12,  energy_ebm=4.546e+24
Epoch=84, loss=-4.600e+24,  energy_data=1.512e+12,  energy_ebm=4.603e+24
Epoch=85, loss=-4.647e+24,  energy_data=1.548e+12,  energy_ebm=4.650e+24
Epoch=86, loss=-4.701e+24,  energy_data=1.585e+12,  energy_ebm=4.704e+24
Epoch=87, loss=-4.756e+24,  energy_data=1.624e+12,  energy_ebm=4.758e+24
Epoch=88, loss=-4.814e+24,  energy_data=1.665e+12,  energy_ebm=4.817e+24
Epoch=89, loss=-4.862e+24,  energy_data=1.707e+12,  energy_ebm=4.865e+24
Epoch=90, loss=-4.918e+24,  energy_data=1.751e+12,  energy_ebm=4.921e+24
Epoch=91, loss=-4.976e+24,  energy_data=1.797e+12,  energy_ebm=4.980e+24
Epoch=92, loss=-5.037e+24,  energy_data=1.843e+12,  energy_ebm=5.040e+24
Epoch=93, loss=-5.092e+24,  energy_data=1.892e+12,  energy_ebm=5.096e+24
Epoch=94, loss=-5.144e+24,  energy_data=1.941e+12,  energy_ebm=5.148e+24
