Epoch=1, loss=-4.946e-02,  energy_data=6.450e-01,  energy_ebm=6.974e-01
Epoch=2, loss=-9.637e-03,  energy_data=4.713e-01,  energy_ebm=4.823e-01
Epoch=3, loss=-6.227e-03,  energy_data=5.680e-01,  energy_ebm=5.761e-01
Epoch=4, loss=-5.587e-03,  energy_data=5.750e-01,  energy_ebm=5.825e-01
Epoch=5, loss=-3.761e-03,  energy_data=5.531e-01,  energy_ebm=5.587e-01
Epoch=6, loss=-4.989e-03,  energy_data=5.257e-01,  energy_ebm=5.324e-01
Epoch=7, loss=-4.069e-03,  energy_data=5.547e-01,  energy_ebm=5.608e-01
Epoch=8, loss=-4.143e-03,  energy_data=5.390e-01,  energy_ebm=5.451e-01
Epoch=9, loss=-3.026e-03,  energy_data=5.437e-01,  energy_ebm=5.486e-01
Epoch=10, loss=-3.217e-03,  energy_data=5.649e-01,  energy_ebm=5.703e-01
Epoch=11, loss=-3.214e-03,  energy_data=5.608e-01,  energy_ebm=5.661e-01
Epoch=12, loss=-3.608e-03,  energy_data=5.712e-01,  energy_ebm=5.770e-01
Epoch=13, loss=-3.290e-03,  energy_data=5.646e-01,  energy_ebm=5.701e-01
Epoch=14, loss=-2.580e-03,  energy_data=5.573e-01,  energy_ebm=5.619e-01
Epoch=15, loss=-4.223e-03,  energy_data=5.644e-01,  energy_ebm=5.708e-01
Epoch=16, loss=-3.178e-03,  energy_data=5.565e-01,  energy_ebm=5.618e-01
Epoch=17, loss=-3.009e-03,  energy_data=5.391e-01,  energy_ebm=5.442e-01
Epoch=18, loss=-3.347e-03,  energy_data=5.534e-01,  energy_ebm=5.589e-01
Epoch=19, loss=-3.054e-03,  energy_data=5.749e-01,  energy_ebm=5.802e-01
Epoch=20, loss=-3.047e-03,  energy_data=5.595e-01,  energy_ebm=5.647e-01
Epoch=21, loss=-3.542e-03,  energy_data=5.747e-01,  energy_ebm=5.806e-01
Epoch=22, loss=-3.746e-03,  energy_data=5.980e-01,  energy_ebm=6.042e-01
Epoch=23, loss=-3.541e-03,  energy_data=6.397e-01,  energy_ebm=6.462e-01
Epoch=24, loss=-3.520e-03,  energy_data=5.789e-01,  energy_ebm=5.848e-01
