Epoch=1, loss=-5.003e-02,  energy_data=6.195e-01,  energy_ebm=6.746e-01
Epoch=2, loss=-8.452e-03,  energy_data=4.623e-01,  energy_ebm=4.731e-01
Epoch=3, loss=-7.578e-03,  energy_data=5.113e-01,  energy_ebm=5.218e-01
Epoch=4, loss=-5.178e-03,  energy_data=5.053e-01,  energy_ebm=5.135e-01
Epoch=5, loss=-4.348e-03,  energy_data=4.573e-01,  energy_ebm=4.643e-01
Epoch=6, loss=-4.301e-03,  energy_data=4.530e-01,  energy_ebm=4.600e-01
Epoch=7, loss=-4.312e-03,  energy_data=4.554e-01,  energy_ebm=4.624e-01
Epoch=8, loss=-3.764e-03,  energy_data=4.507e-01,  energy_ebm=4.571e-01
Epoch=9, loss=-3.694e-03,  energy_data=4.565e-01,  energy_ebm=4.629e-01
Epoch=10, loss=-4.055e-03,  energy_data=4.585e-01,  energy_ebm=4.653e-01
Epoch=11, loss=-4.061e-03,  energy_data=4.657e-01,  energy_ebm=4.726e-01
Epoch=12, loss=-4.382e-03,  energy_data=4.807e-01,  energy_ebm=4.882e-01
Epoch=13, loss=-3.119e-03,  energy_data=4.942e-01,  energy_ebm=5.005e-01
Epoch=14, loss=-3.462e-03,  energy_data=4.949e-01,  energy_ebm=5.017e-01
Epoch=15, loss=-4.894e-03,  energy_data=4.653e-01,  energy_ebm=4.731e-01
Epoch=16, loss=-3.615e-03,  energy_data=4.764e-01,  energy_ebm=4.831e-01
Epoch=17, loss=-4.202e-03,  energy_data=5.035e-01,  energy_ebm=5.112e-01
Epoch=18, loss=-3.928e-03,  energy_data=5.127e-01,  energy_ebm=5.203e-01
Epoch=19, loss=-4.277e-03,  energy_data=5.081e-01,  energy_ebm=5.159e-01
Epoch=20, loss=-3.476e-03,  energy_data=5.042e-01,  energy_ebm=5.112e-01
Epoch=21, loss=-4.450e-03,  energy_data=5.192e-01,  energy_ebm=5.275e-01
Epoch=22, loss=-4.656e-03,  energy_data=5.285e-01,  energy_ebm=5.370e-01
Epoch=23, loss=-3.671e-03,  energy_data=5.179e-01,  energy_ebm=5.253e-01
Epoch=24, loss=-6.117e-03,  energy_data=5.379e-01,  energy_ebm=5.481e-01
Epoch=25, loss=-3.505e-03,  energy_data=5.507e-01,  energy_ebm=5.585e-01
Epoch=26, loss=-5.940e-03,  energy_data=5.810e-01,  energy_ebm=5.918e-01
Epoch=27, loss=-4.151e-03,  energy_data=5.304e-01,  energy_ebm=5.385e-01
Epoch=28, loss=-3.670e-03,  energy_data=5.397e-01,  energy_ebm=5.475e-01
Epoch=29, loss=-5.343e-03,  energy_data=5.486e-01,  energy_ebm=5.583e-01
Epoch=30, loss=-4.680e-03,  energy_data=5.528e-01,  energy_ebm=5.619e-01
Epoch=31, loss=-5.962e-03,  energy_data=5.827e-01,  energy_ebm=5.936e-01
Epoch=32, loss=-5.418e-03,  energy_data=5.734e-01,  energy_ebm=5.837e-01
Epoch=33, loss=-5.468e-03,  energy_data=5.985e-01,  energy_ebm=6.092e-01
Epoch=34, loss=-5.949e-03,  energy_data=5.916e-01,  energy_ebm=6.028e-01
Epoch=35, loss=-6.808e-03,  energy_data=5.916e-01,  energy_ebm=6.035e-01
Epoch=36, loss=-4.536e-03,  energy_data=5.930e-01,  energy_ebm=6.028e-01
