Epoch=4, GS=200000, loss=6.091e-01
Epoch=4, GS=210000, loss=6.084e-01
Epoch=4, GS=220000, loss=6.086e-01
Epoch=4, GS=230000, loss=6.079e-01
Epoch=4, GS=240000, loss=6.089e-01
Epoch=4, GS=250000, loss=6.088e-01
Epoch=4, GS=260000, loss=6.091e-01
Epoch=4, GS=270000, loss=6.094e-01
Epoch=4, GS=280000, loss=6.092e-01
Epoch=4, GS=290000, loss=6.085e-01
Epoch=4, GS=300000, loss=6.091e-01
Epoch=4, GS=310000, loss=6.097e-01
Epoch=4, GS=320000, loss=6.098e-01
Epoch=4, GS=330000, loss=6.095e-01
Epoch=4, GS=340000, loss=6.098e-01
Epoch=4, GS=350000, loss=6.093e-01
Epoch=4, GS=360000, loss=6.098e-01
Epoch=4, GS=370000, loss=6.102e-01
Epoch=4, GS=380000, loss=6.080e-01
Epoch=4, GS=390000, loss=6.086e-01
Epoch=4, GS=400000, loss=6.097e-01
Epoch=5, GS=10000, loss=6.087e-01
Epoch=5, GS=20000, loss=6.078e-01
Epoch=5, GS=30000, loss=6.101e-01
Epoch=5, GS=40000, loss=6.095e-01
Epoch=5, GS=50000, loss=6.079e-01
Epoch=5, GS=60000, loss=6.083e-01
Epoch=5, GS=70000, loss=6.096e-01
Epoch=5, GS=80000, loss=6.089e-01
Epoch=5, GS=90000, loss=6.084e-01
Epoch=5, GS=100000, loss=6.086e-01
Epoch=5, GS=110000, loss=6.094e-01
Epoch=5, GS=120000, loss=6.084e-01
Epoch=5, GS=130000, loss=6.087e-01
Epoch=5, GS=140000, loss=6.081e-01
Epoch=5, GS=150000, loss=6.092e-01
Epoch=5, GS=160000, loss=6.083e-01
Epoch=5, GS=170000, loss=6.092e-01
Epoch=5, GS=180000, loss=6.093e-01
Epoch=5, GS=190000, loss=6.066e-01
Epoch=5, GS=200000, loss=6.087e-01
Epoch=5, GS=210000, loss=6.100e-01
Epoch=5, GS=220000, loss=6.086e-01
Epoch=5, GS=230000, loss=6.076e-01
Epoch=5, GS=240000, loss=6.080e-01
Epoch=5, GS=250000, loss=6.091e-01
Epoch=5, GS=260000, loss=6.090e-01
Epoch=5, GS=270000, loss=6.086e-01
Epoch=5, GS=280000, loss=6.105e-01
Epoch=5, GS=290000, loss=6.073e-01
Epoch=5, GS=300000, loss=6.096e-01
Epoch=5, GS=310000, loss=6.096e-01
Epoch=5, GS=320000, loss=6.086e-01
Epoch=5, GS=330000, loss=6.098e-01
Epoch=5, GS=340000, loss=6.070e-01
Epoch=5, GS=350000, loss=6.091e-01
Epoch=5, GS=360000, loss=6.087e-01
Epoch=5, GS=370000, loss=6.087e-01
Epoch=5, GS=380000, loss=6.105e-01
Epoch=5, GS=390000, loss=6.090e-01
Epoch=5, GS=400000, loss=6.089e-01
Epoch=6, GS=10000, loss=6.083e-01
Epoch=6, GS=20000, loss=6.097e-01
Epoch=6, GS=30000, loss=6.088e-01
Epoch=6, GS=40000, loss=6.093e-01
Epoch=6, GS=50000, loss=6.091e-01
Epoch=6, GS=60000, loss=6.096e-01
Epoch=6, GS=70000, loss=6.088e-01
Epoch=6, GS=80000, loss=6.059e-01
Epoch=6, GS=90000, loss=6.093e-01
Epoch=6, GS=100000, loss=6.079e-01
Epoch=6, GS=110000, loss=6.091e-01
Epoch=6, GS=120000, loss=6.084e-01
Epoch=6, GS=130000, loss=6.082e-01
Epoch=6, GS=140000, loss=6.089e-01
Epoch=6, GS=150000, loss=6.068e-01
Epoch=6, GS=160000, loss=6.079e-01
Epoch=6, GS=170000, loss=6.081e-01
Epoch=6, GS=180000, loss=6.095e-01
Epoch=6, GS=190000, loss=6.082e-01
Epoch=6, GS=200000, loss=6.106e-01
Epoch=6, GS=210000, loss=6.090e-01
Epoch=6, GS=220000, loss=6.107e-01
Epoch=6, GS=230000, loss=6.081e-01
Epoch=6, GS=240000, loss=6.083e-01
Epoch=6, GS=250000, loss=6.091e-01
Epoch=6, GS=260000, loss=6.087e-01
Epoch=6, GS=270000, loss=6.079e-01
Epoch=6, GS=280000, loss=6.084e-01
Epoch=6, GS=290000, loss=6.086e-01
Epoch=6, GS=300000, loss=6.084e-01
Epoch=6, GS=310000, loss=6.085e-01
Epoch=6, GS=320000, loss=6.089e-01
Epoch=6, GS=330000, loss=6.085e-01
Epoch=6, GS=340000, loss=6.081e-01
Epoch=6, GS=350000, loss=6.099e-01
Epoch=6, GS=360000, loss=6.092e-01
Epoch=6, GS=370000, loss=6.094e-01
Epoch=6, GS=380000, loss=6.102e-01
Epoch=6, GS=390000, loss=6.079e-01
Epoch=6, GS=400000, loss=6.096e-01
Epoch=7, GS=10000, loss=6.090e-01
Epoch=7, GS=20000, loss=6.090e-01
Epoch=7, GS=30000, loss=6.079e-01
Epoch=7, GS=40000, loss=6.087e-01
Epoch=7, GS=50000, loss=6.082e-01
Epoch=7, GS=60000, loss=6.079e-01
Epoch=7, GS=70000, loss=6.100e-01
