Epoch=1, loss_theta=1.098e+00,  energy_data=-8.110e+00,  energy_ebm=-9.208e+00,  regularize_term=3.602e+00
Epoch=2, loss_theta=-7.899e-01,  energy_data=-1.408e+01,  energy_ebm=-1.329e+01,  regularize_term=3.911e-01
Epoch=3, loss_theta=-9.046e-01,  energy_data=-1.532e+01,  energy_ebm=-1.441e+01,  regularize_term=4.565e-01
Epoch=4, loss_theta=-9.180e-01,  energy_data=-1.539e+01,  energy_ebm=-1.448e+01,  regularize_term=4.610e-01
Epoch=5, loss_theta=-9.293e-01,  energy_data=-1.549e+01,  energy_ebm=-1.457e+01,  regularize_term=4.667e-01
Epoch=6, loss_theta=-9.617e-01,  energy_data=-1.573e+01,  energy_ebm=-1.477e+01,  regularize_term=4.813e-01
Epoch=7, loss_theta=-9.450e-01,  energy_data=-1.563e+01,  energy_ebm=-1.468e+01,  regularize_term=4.747e-01
Epoch=8, loss_theta=-9.435e-01,  energy_data=-1.558e+01,  energy_ebm=-1.464e+01,  regularize_term=4.719e-01
Epoch=9, loss_theta=-9.275e-01,  energy_data=-1.546e+01,  energy_ebm=-1.453e+01,  regularize_term=4.647e-01
Epoch=10, loss_theta=-9.393e-01,  energy_data=-1.556e+01,  energy_ebm=-1.462e+01,  regularize_term=4.708e-01
Epoch=11, loss_theta=-9.288e-01,  energy_data=-1.547e+01,  energy_ebm=-1.454e+01,  regularize_term=4.653e-01
