Epoch=1, loss_theta=-4.902e+00,  energy_data=-5.696e+00,  energy_ebm=-7.944e-01,  regularize_term=2.491e+00
Epoch=2, loss_theta=-5.194e+00,  energy_data=-6.543e+00,  energy_ebm=-1.348e+00,  regularize_term=2.597e+00
Epoch=3, loss_theta=-4.839e+00,  energy_data=-6.261e+00,  energy_ebm=-1.423e+00,  regularize_term=2.422e+00
Epoch=4, loss_theta=-4.724e+00,  energy_data=-6.170e+00,  energy_ebm=-1.446e+00,  regularize_term=2.364e+00
Epoch=5, loss_theta=-4.582e+00,  energy_data=-6.055e+00,  energy_ebm=-1.474e+00,  regularize_term=2.292e+00
Epoch=6, loss_theta=-4.532e+00,  energy_data=-6.011e+00,  energy_ebm=-1.479e+00,  regularize_term=2.268e+00
Epoch=7, loss_theta=-4.510e+00,  energy_data=-5.993e+00,  energy_ebm=-1.482e+00,  regularize_term=2.256e+00
Epoch=8, loss_theta=-4.464e+00,  energy_data=-5.958e+00,  energy_ebm=-1.494e+00,  regularize_term=2.233e+00
Epoch=9, loss_theta=-4.404e+00,  energy_data=-5.907e+00,  energy_ebm=-1.503e+00,  regularize_term=2.203e+00
Epoch=10, loss_theta=-4.388e+00,  energy_data=-5.894e+00,  energy_ebm=-1.506e+00,  regularize_term=2.195e+00
Epoch=11, loss_theta=-4.387e+00,  energy_data=-5.893e+00,  energy_ebm=-1.505e+00,  regularize_term=2.194e+00
Epoch=12, loss_theta=-4.354e+00,  energy_data=-5.861e+00,  energy_ebm=-1.508e+00,  regularize_term=2.178e+00
Epoch=13, loss_theta=-4.413e+00,  energy_data=-5.912e+00,  energy_ebm=-1.499e+00,  regularize_term=2.206e+00
Epoch=14, loss_theta=-4.357e+00,  energy_data=-5.868e+00,  energy_ebm=-1.511e+00,  regularize_term=2.180e+00
Epoch=15, loss_theta=-4.252e+00,  energy_data=-5.777e+00,  energy_ebm=-1.525e+00,  regularize_term=2.125e+00
Epoch=16, loss_theta=-4.323e+00,  energy_data=-5.842e+00,  energy_ebm=-1.519e+00,  regularize_term=2.163e+00
Epoch=17, loss_theta=-4.303e+00,  energy_data=-5.821e+00,  energy_ebm=-1.518e+00,  regularize_term=2.151e+00
Epoch=18, loss_theta=-4.240e+00,  energy_data=-5.773e+00,  energy_ebm=-1.533e+00,  regularize_term=2.120e+00
Epoch=19, loss_theta=-4.310e+00,  energy_data=-5.830e+00,  energy_ebm=-1.519e+00,  regularize_term=2.155e+00
Epoch=20, loss_theta=-4.299e+00,  energy_data=-5.819e+00,  energy_ebm=-1.520e+00,  regularize_term=2.149e+00
Epoch=21, loss_theta=-4.238e+00,  energy_data=-5.769e+00,  energy_ebm=-1.532e+00,  regularize_term=2.118e+00
Epoch=22, loss_theta=-4.312e+00,  energy_data=-5.832e+00,  energy_ebm=-1.519e+00,  regularize_term=2.155e+00
Epoch=23, loss_theta=-4.270e+00,  energy_data=-5.797e+00,  energy_ebm=-1.527e+00,  regularize_term=2.136e+00
Epoch=24, loss_theta=-4.288e+00,  energy_data=-5.814e+00,  energy_ebm=-1.526e+00,  regularize_term=2.144e+00
Epoch=25, loss_theta=-4.302e+00,  energy_data=-5.824e+00,  energy_ebm=-1.521e+00,  regularize_term=2.150e+00
Epoch=26, loss_theta=-4.271e+00,  energy_data=-5.799e+00,  energy_ebm=-1.528e+00,  regularize_term=2.135e+00
Epoch=27, loss_theta=-4.250e+00,  energy_data=-5.782e+00,  energy_ebm=-1.532e+00,  regularize_term=2.125e+00
Epoch=28, loss_theta=-4.280e+00,  energy_data=-5.807e+00,  energy_ebm=-1.527e+00,  regularize_term=2.140e+00
Epoch=29, loss_theta=-4.221e+00,  energy_data=-5.759e+00,  energy_ebm=-1.538e+00,  regularize_term=2.110e+00
